UID,Chargeability,Start Date,End Date,Client,Project Name,Required Skills,Location,Local Requirement
63,No,2020-03-01 00:00:00,2020-07-15 00:00:00,E,Malware Analysis & Countermeasures (MAC),Python,Chicago,Yes
64,Yes,2020-10-01 00:00:00,2020-07-15 00:00:00,A,iDefense- Odin,Cloud,Boston,Yes
65,No,2020-02-01 00:00:00,2020-02-15 00:00:00,G,Chevron Cloud Security,Python,Chicago,No
66,No,2020-04-01 00:00:00,2020-04-15 00:00:00,H,Avande,Python,Chicago,No
67,No,2020-03-01 00:00:00,2020-05-15 00:00:00,H,Cloud Security Enablement Phase 1,Java,DC,Yes
68,No,2020-06-01 00:00:00,2020-11-15 00:00:00,G,iDefense- Odin,ML,Chicago,Yes
69,Yes,2020-12-01 00:00:00,2020-08-15 00:00:00,F,Journey2Cloud,Java,Chicago,No
70,No,2020-12-01 00:00:00,2020-06-15 00:00:00,F,Avande,ML,Boston,Yes
71,Yes,2020-01-01 00:00:00,2020-02-15 00:00:00,B,iDefense- Odin,Java,NYC,Yes
72,No,2020-06-01 00:00:00,2020-09-15 00:00:00,E,AT&T Application Scanning,ML,Chicago,Yes
73,No,2020-02-01 00:00:00,2020-11-15 00:00:00,G,Malware Analysis & Countermeasures (MAC),Java,DC,Yes
74,No,2020-04-01 00:00:00,2020-12-15 00:00:00,A,iDefense- Odin,Python,DC,Yes
75,Yes,2020-07-01 00:00:00,2020-10-15 00:00:00,C,Avande,Cloud,Chicago,Yes
76,No,2020-05-01 00:00:00,2020-01-15 00:00:00,G,Avande,Java,Denver,No
77,Yes,2020-12-01 00:00:00,2020-08-15 00:00:00,C,Chevron Cloud Security,Python,Denver,Yes
78,No,2020-04-01 00:00:00,2020-08-15 00:00:00,C,Application Security F/P Analysis,Oracle,Chicago,No
79,No,2020-04-01 00:00:00,2020-07-15 00:00:00,E,Cloud Security Enablement Phase 1,Cloud,Boston,No
80,Yes,2020-02-01 00:00:00,2020-03-15 00:00:00,E,Chevron Cloud Security,Oracle,NYC,Yes
81,No,2020-07-01 00:00:00,2020-12-15 00:00:00,D,Avande,ML,NYC,No
82,No,2020-01-01 00:00:00,2020-04-15 00:00:00,A,iDefense- Odin,Java,DC,Yes
83,No,2020-12-01 00:00:00,2020-10-15 00:00:00,D,Application Security F/P Analysis,Python,NYC,No
84,No,2020-02-01 00:00:00,2020-07-15 00:00:00,E,Cloud Security Enablement Phase 1,Oracle,Boston,Yes
85,No,2020-08-01 00:00:00,2020-02-15 00:00:00,F,Avande,Python,Boston,No
86,No,2020-10-01 00:00:00,2020-09-15 00:00:00,G,iDefense- Odin,Oracle,DC,Yes
87,No,2020-06-01 00:00:00,2020-01-15 00:00:00,F,iDefense- Odin,Python,DC,Yes
88,No,2020-10-01 00:00:00,2020-05-15 00:00:00,A,AT&T Application Scanning,Oracle,Boston,No
89,No,2020-01-01 00:00:00,2020-01-15 00:00:00,B,AT&T Application Scanning,Java,Boston,Yes
90,Yes,2020-03-01 00:00:00,2020-11-15 00:00:00,F,Application Security F/P Analysis,ML,NYC,Yes
91,No,2020-10-01 00:00:00,2020-11-15 00:00:00,F,Cyber Integration,Python,Boston,No
92,Yes,2020-01-01 00:00:00,2020-02-15 00:00:00,A,Journey2Cloud,Cloud,Chicago,Yes
93,Yes,2020-04-01 00:00:00,2020-12-15 00:00:00,A,Cloud Security Enablement Phase 1,Oracle,DC,No
94,Yes,2020-02-01 00:00:00,2020-02-15 00:00:00,A,iDefense- Zaim,Cloud,Chicago,Yes
95,Yes,2020-08-01 00:00:00,2020-10-15 00:00:00,D,iDefense- Odin,Python,Chicago,No
96,Yes,2020-02-01 00:00:00,2020-11-15 00:00:00,B,iDefense- Zaim,Python,DC,No
97,No,2020-12-01 00:00:00,2020-04-15 00:00:00,D,Cloud Security Enablement Phase 1,Oracle,DC,No
98,Yes,2020-04-01 00:00:00,2020-12-15 00:00:00,B,Malware Analysis & Countermeasures (MAC),Java,Denver,Yes
99,Yes,2020-12-01 00:00:00,2020-06-15 00:00:00,A,Cloud Security Enablement Phase 1,Oracle,DC,Yes
100,Yes,2020-06-01 00:00:00,2020-06-15 00:00:00,G,iDefense- Zaim,Python,Denver,No
101,No,2020-12-01 00:00:00,2020-06-15 00:00:00,D,Cyber Integration,Oracle,Boston,No
102,No,2020-02-01 00:00:00,2020-03-15 00:00:00,F,iDefense- Zaim,Oracle,Boston,Yes
103,No,2020-07-01 00:00:00,2020-06-15 00:00:00,F,iDefense- Zaim,Java,Chicago,No
104,No,2020-06-01 00:00:00,2020-11-15 00:00:00,G,Journey2Cloud,Cloud,Chicago,Yes
105,No,2020-03-01 00:00:00,2020-06-15 00:00:00,A,Avande,Oracle,DC,No
106,No,2020-12-01 00:00:00,2020-04-15 00:00:00,F,Cyber Integration,Cloud,NYC,No
107,No,2020-12-01 00:00:00,2020-09-15 00:00:00,A,Cloud Security Enablement Phase 1,Cloud,DC,No
108,No,2020-05-01 00:00:00,2020-05-15 00:00:00,C,Avande,ML,Chicago,No
109,Yes,2020-02-01 00:00:00,2020-11-15 00:00:00,D,Cyber Integration,Cloud,Chicago,No
110,No,2020-09-01 00:00:00,2020-12-15 00:00:00,E,Avande,Cloud,Boston,Yes
111,No,2020-06-01 00:00:00,2020-07-15 00:00:00,H,iDefense- Odin,Oracle,NYC,Yes
112,Yes,2020-09-01 00:00:00,2020-07-15 00:00:00,A,Cyber Integration,Python,Boston,No
113,Yes,2020-09-01 00:00:00,2020-05-15 00:00:00,H,Malware Analysis & Countermeasures (MAC),Oracle,DC,Yes
114,Yes,2020-03-01 00:00:00,2020-08-15 00:00:00,B,AT&T Application Scanning,ML,DC,No
115,Yes,2020-05-01 00:00:00,2020-11-15 00:00:00,B,Journey2Cloud,Python,Boston,Yes
116,No,2020-04-01 00:00:00,2020-02-15 00:00:00,D,Malware Analysis & Countermeasures (MAC),Cloud,Chicago,No
117,No,2020-02-01 00:00:00,2020-05-15 00:00:00,E,AT&T Application Scanning,Cloud,NYC,No
118,No,2020-03-01 00:00:00,2020-04-15 00:00:00,G,Cyber Integration,ML,Chicago,Yes
119,No,2020-02-01 00:00:00,2020-08-15 00:00:00,E,Application Security F/P Analysis,ML,Chicago,No
120,Yes,2020-12-01 00:00:00,2020-02-15 00:00:00,E,iDefense- Odin,Cloud,Chicago,Yes
121,No,2020-03-01 00:00:00,2020-07-15 00:00:00,A,Cloud Security Enablement Phase 1,Python,Denver,No
122,No,2020-12-01 00:00:00,2020-05-15 00:00:00,D,Journey2Cloud,ML,DC,Yes
123,No,2020-05-01 00:00:00,2020-06-15 00:00:00,A,iDefense- Odin,Oracle,NYC,No
124,No,2020-02-01 00:00:00,2020-12-15 00:00:00,C,AT&T Application Scanning,ML,Boston,No
125,Yes,2020-11-01 00:00:00,2020-10-15 00:00:00,B,iDefense- Odin,Oracle,Boston,Yes
126,Yes,2020-10-01 00:00:00,2020-10-15 00:00:00,D,Chevron Cloud Security,ML,Denver,No
127,No,2020-09-01 00:00:00,2020-03-15 00:00:00,H,Cloud Security Enablement Phase 1,Java,Denver,No
128,No,2020-07-01 00:00:00,2020-01-15 00:00:00,G,iDefense- Odin,Oracle,Chicago,Yes
129,No,2020-01-01 00:00:00,2020-03-15 00:00:00,D,iDefense- Zaim,Cloud,Denver,Yes
130,No,2020-09-01 00:00:00,2020-10-15 00:00:00,H,iDefense- Zaim,Python,Boston,No
131,No,2020-06-01 00:00:00,2020-08-15 00:00:00,D,Cloud Security Enablement Phase 1,Python,DC,Yes
132,No,2020-09-01 00:00:00,2020-06-15 00:00:00,G,AT&T Application Scanning,ML,Denver,No
133,Yes,2020-06-01 00:00:00,2020-04-15 00:00:00,E,Cloud Security Enablement Phase 1,Cloud,DC,Yes
134,Yes,2020-07-01 00:00:00,2020-07-15 00:00:00,F,Cyber Integration,ML,DC,No
135,Yes,2020-11-01 00:00:00,2020-12-15 00:00:00,H,Malware Analysis & Countermeasures (MAC),ML,Chicago,Yes
136,No,2020-06-01 00:00:00,2020-08-15 00:00:00,B,AT&T Application Scanning,Oracle,DC,Yes
137,No,2020-02-01 00:00:00,2020-02-15 00:00:00,G,Avande,ML,Boston,Yes
138,No,2020-02-01 00:00:00,2020-08-15 00:00:00,E,Avande,Cloud,Boston,No
139,Yes,2020-12-01 00:00:00,2020-05-15 00:00:00,B,iDefense- Zaim,Cloud,DC,No
140,No,2020-03-01 00:00:00,2020-05-15 00:00:00,D,Chevron Cloud Security,Oracle,Denver,No
141,Yes,2020-03-01 00:00:00,2020-02-15 00:00:00,A,Cloud Security Enablement Phase 1,Java,NYC,Yes
142,No,2020-06-01 00:00:00,2020-02-15 00:00:00,A,Avande,Cloud,NYC,No
143,Yes,2020-08-01 00:00:00,2020-05-15 00:00:00,F,Chevron Cloud Security,Cloud,NYC,Yes
144,No,2020-09-01 00:00:00,2020-12-15 00:00:00,E,Application Security F/P Analysis,Oracle,NYC,Yes
145,No,2020-12-01 00:00:00,2020-10-15 00:00:00,A,Avande,ML,Boston,No
146,Yes,2020-10-01 00:00:00,2020-01-15 00:00:00,D,iDefense- Zaim,Python,Denver,Yes
147,Yes,2020-11-01 00:00:00,2020-09-15 00:00:00,C,Journey2Cloud,Oracle,Chicago,Yes
148,No,2020-09-01 00:00:00,2020-08-15 00:00:00,B,iDefense- Zaim,Oracle,DC,Yes
149,No,2020-11-01 00:00:00,2020-06-15 00:00:00,C,Cyber Integration,ML,NYC,Yes
150,No,2020-05-01 00:00:00,2020-09-15 00:00:00,H,Application Security F/P Analysis,Java,NYC,Yes
151,Yes,2020-05-01 00:00:00,2020-11-15 00:00:00,E,Chevron Cloud Security,Java,Denver,No
152,Yes,2020-11-01 00:00:00,2020-02-15 00:00:00,B,Malware Analysis & Countermeasures (MAC),Java,DC,No
153,No,2020-12-01 00:00:00,2020-06-15 00:00:00,C,Application Security F/P Analysis,Cloud,DC,Yes
154,Yes,2020-02-01 00:00:00,2020-07-15 00:00:00,A,Cyber Integration,ML,Boston,Yes
155,No,2020-08-01 00:00:00,2020-07-15 00:00:00,D,iDefense- Zaim,Java,Chicago,No
156,No,2020-04-01 00:00:00,2020-02-15 00:00:00,H,Journey2Cloud,Oracle,Boston,No
157,No,2020-09-01 00:00:00,2020-04-15 00:00:00,A,Application Security F/P Analysis,ML,DC,Yes
158,No,2020-01-01 00:00:00,2020-10-15 00:00:00,H,iDefense- Zaim,Oracle,Boston,Yes
159,Yes,2020-09-01 00:00:00,2020-04-15 00:00:00,E,Application Security F/P Analysis,Java,Chicago,No
160,No,2020-10-01 00:00:00,2020-12-15 00:00:00,F,Application Security F/P Analysis,Java,Chicago,No
161,No,2020-11-01 00:00:00,2020-04-15 00:00:00,C,AT&T Application Scanning,Python,Chicago,Yes
162,No,2020-12-01 00:00:00,2020-12-15 00:00:00,F,iDefense- Zaim,Cloud,Boston,Yes
163,No,2020-12-01 00:00:00,2020-12-15 00:00:00,A,Cyber Integration,Cloud,Denver,No
164,No,2020-05-01 00:00:00,2020-05-15 00:00:00,F,iDefense- Odin,Cloud,Chicago,Yes
165,Yes,2020-03-01 00:00:00,2020-10-15 00:00:00,C,AT&T Application Scanning,Cloud,Chicago,Yes
166,Yes,2020-08-01 00:00:00,2020-09-15 00:00:00,A,iDefense- Odin,Oracle,Denver,No
167,Yes,2020-04-01 00:00:00,2020-03-15 00:00:00,G,Journey2Cloud,Python,DC,No
168,No,2020-09-01 00:00:00,2020-04-15 00:00:00,D,iDefense- Zaim,Oracle,Boston,Yes
169,Yes,2020-10-01 00:00:00,2020-10-15 00:00:00,F,Chevron Cloud Security,Python,Boston,Yes
170,No,2020-10-01 00:00:00,2020-11-15 00:00:00,B,Chevron Cloud Security,Python,NYC,Yes
171,Yes,2020-08-01 00:00:00,2020-05-15 00:00:00,D,Cloud Security Enablement Phase 1,Java,NYC,Yes
172,Yes,2020-06-01 00:00:00,2020-10-15 00:00:00,D,Cyber Integration,Python,DC,No
173,Yes,2020-11-01 00:00:00,2020-03-15 00:00:00,B,Cloud Security Enablement Phase 1,Java,NYC,No
174,No,2020-10-01 00:00:00,2020-02-15 00:00:00,B,Cyber Integration,ML,Boston,No
175,No,2020-06-01 00:00:00,2020-04-15 00:00:00,H,Chevron Cloud Security,ML,Chicago,No
176,No,2020-02-01 00:00:00,2020-11-15 00:00:00,F,AT&T Application Scanning,Python,Denver,Yes
177,Yes,2020-06-01 00:00:00,2020-03-15 00:00:00,E,AT&T Application Scanning,Python,Chicago,No
178,No,2020-10-01 00:00:00,2020-05-15 00:00:00,H,Cloud Security Enablement Phase 1,ML,Boston,No
179,Yes,2020-06-01 00:00:00,2020-11-15 00:00:00,B,Cyber Integration,Python,Denver,No
180,No,2020-12-01 00:00:00,2020-08-15 00:00:00,H,Chevron Cloud Security,Python,NYC,No
181,No,2020-07-01 00:00:00,2020-09-15 00:00:00,B,iDefense- Odin,ML,Denver,Yes
182,Yes,2020-02-01 00:00:00,2020-08-15 00:00:00,G,Malware Analysis & Countermeasures (MAC),Cloud,NYC,Yes
183,No,2020-06-01 00:00:00,2020-12-15 00:00:00,A,Cyber Integration,Oracle,Chicago,No
184,Yes,2020-05-01 00:00:00,2020-11-15 00:00:00,C,Avande,Cloud,Chicago,No
185,No,2020-07-01 00:00:00,2020-03-15 00:00:00,H,AT&T Application Scanning,Java,Chicago,No
186,Yes,2020-08-01 00:00:00,2020-08-15 00:00:00,H,AT&T Application Scanning,ML,NYC,No
187,Yes,2020-06-01 00:00:00,2020-03-15 00:00:00,E,Cloud Security Enablement Phase 1,ML,Denver,No
188,No,2020-10-01 00:00:00,2020-12-15 00:00:00,C,iDefense- Odin,Java,Denver,No
189,Yes,2020-06-01 00:00:00,2020-10-15 00:00:00,C,Journey2Cloud,Python,Denver,Yes
190,Yes,2020-06-01 00:00:00,2020-07-15 00:00:00,E,iDefense- Odin,ML,DC,No
191,Yes,2020-05-01 00:00:00,2020-08-15 00:00:00,E,Malware Analysis & Countermeasures (MAC),ML,Denver,No
192,Yes,2020-02-01 00:00:00,2020-06-15 00:00:00,A,Malware Analysis & Countermeasures (MAC),Python,NYC,Yes
193,Yes,2020-01-01 00:00:00,2020-12-15 00:00:00,D,Avande,Cloud,Boston,No
194,No,2020-01-01 00:00:00,2020-10-15 00:00:00,F,Avande,Java,Chicago,No
195,Yes,2020-04-01 00:00:00,2020-08-15 00:00:00,C,AT&T Application Scanning,Cloud,NYC,Yes
196,Yes,2020-11-01 00:00:00,2020-11-15 00:00:00,B,Application Security F/P Analysis,Python,Chicago,Yes
197,No,2020-10-01 00:00:00,2020-07-15 00:00:00,C,AT&T Application Scanning,Python,Denver,No
198,Yes,2020-12-01 00:00:00,2020-02-15 00:00:00,F,Journey2Cloud,ML,Chicago,No
199,Yes,2020-03-01 00:00:00,2020-10-15 00:00:00,E,Cloud Security Enablement Phase 1,Java,Denver,No
200,Yes,2020-12-01 00:00:00,2020-10-15 00:00:00,F,Chevron Cloud Security,Cloud,DC,No
201,Yes,2020-06-01 00:00:00,2020-12-15 00:00:00,D,iDefense- Zaim,Oracle,Chicago,Yes
202,Yes,2020-04-01 00:00:00,2020-05-15 00:00:00,H,iDefense- Odin,ML,Chicago,No
203,Yes,2020-06-01 00:00:00,2020-09-15 00:00:00,H,iDefense- Odin,Cloud,Denver,Yes
204,No,2020-05-01 00:00:00,2020-02-15 00:00:00,F,iDefense- Zaim,Python,DC,Yes
205,No,2020-11-01 00:00:00,2020-12-15 00:00:00,H,Cyber Integration,Oracle,DC,Yes
206,Yes,2020-11-01 00:00:00,2020-12-15 00:00:00,A,Avande,Java,Chicago,Yes
207,No,2020-10-01 00:00:00,2020-12-15 00:00:00,H,Cyber Integration,Python,NYC,No
208,No,2020-01-01 00:00:00,2020-01-15 00:00:00,G,Chevron Cloud Security,Oracle,Boston,Yes
209,No,2020-04-01 00:00:00,2020-07-15 00:00:00,C,iDefense- Odin,Cloud,NYC,Yes
210,No,2020-12-01 00:00:00,2020-08-15 00:00:00,D,Application Security F/P Analysis,Python,NYC,Yes
211,No,2020-09-01 00:00:00,2020-08-15 00:00:00,A,Cyber Integration,Java,Denver,Yes
212,Yes,2020-11-01 00:00:00,2020-11-15 00:00:00,G,Application Security F/P Analysis,Java,NYC,No
213,No,2020-05-01 00:00:00,2020-12-15 00:00:00,C,Application Security F/P Analysis,Cloud,NYC,Yes
214,Yes,2020-02-01 00:00:00,2020-11-15 00:00:00,H,Avande,ML,Chicago,No
215,No,2020-02-01 00:00:00,2020-05-15 00:00:00,A,Journey2Cloud,Cloud,Boston,Yes
216,Yes,2020-07-01 00:00:00,2020-06-15 00:00:00,C,Avande,ML,Chicago,Yes
217,No,2020-04-01 00:00:00,2020-12-15 00:00:00,C,Malware Analysis & Countermeasures (MAC),Cloud,Denver,No
218,No,2020-04-01 00:00:00,2020-01-15 00:00:00,A,AT&T Application Scanning,Java,Boston,Yes
219,Yes,2020-10-01 00:00:00,2020-10-15 00:00:00,D,Cloud Security Enablement Phase 1,ML,Denver,Yes
220,No,2020-12-01 00:00:00,2020-01-15 00:00:00,H,iDefense- Zaim,Oracle,Denver,No
221,No,2020-09-01 00:00:00,2020-05-15 00:00:00,D,Malware Analysis & Countermeasures (MAC),Cloud,Boston,Yes
222,No,2020-11-01 00:00:00,2020-07-15 00:00:00,C,Cyber Integration,ML,Denver,No
223,No,2020-03-01 00:00:00,2020-03-15 00:00:00,D,Application Security F/P Analysis,Python,Boston,Yes
224,No,2020-03-01 00:00:00,2020-08-15 00:00:00,H,Malware Analysis & Countermeasures (MAC),Oracle,Chicago,No
225,Yes,2020-10-01 00:00:00,2020-10-15 00:00:00,E,Cloud Security Enablement Phase 1,Java,Denver,No
226,No,2020-12-01 00:00:00,2020-07-15 00:00:00,E,iDefense- Zaim,Cloud,DC,No
227,No,2020-02-01 00:00:00,2020-10-15 00:00:00,B,Avande,Oracle,DC,Yes
228,No,2020-11-01 00:00:00,2020-02-15 00:00:00,E,iDefense- Odin,ML,NYC,No
229,No,2020-07-01 00:00:00,2020-10-15 00:00:00,B,Chevron Cloud Security,Python,Chicago,No
230,No,2020-12-01 00:00:00,2020-01-15 00:00:00,A,Malware Analysis & Countermeasures (MAC),Cloud,DC,No
231,No,2020-03-01 00:00:00,2020-02-15 00:00:00,D,Cloud Security Enablement Phase 1,Java,NYC,Yes
232,Yes,2020-05-01 00:00:00,2020-12-15 00:00:00,D,iDefense- Odin,ML,DC,No
233,No,2020-02-01 00:00:00,2020-02-15 00:00:00,A,Malware Analysis & Countermeasures (MAC),Cloud,DC,No
234,No,2020-03-01 00:00:00,2020-09-15 00:00:00,C,iDefense- Odin,Python,Chicago,Yes
235,Yes,2020-08-01 00:00:00,2020-10-15 00:00:00,F,Journey2Cloud,Java,Chicago,Yes
236,Yes,2020-07-01 00:00:00,2020-03-15 00:00:00,F,AT&T Application Scanning,Oracle,Denver,Yes
237,Yes,2020-06-01 00:00:00,2020-05-15 00:00:00,A,iDefense- Zaim,Python,NYC,No
238,Yes,2020-04-01 00:00:00,2020-03-15 00:00:00,D,iDefense- Odin,ML,DC,Yes
239,No,2020-01-01 00:00:00,2020-02-15 00:00:00,D,Application Security F/P Analysis,Python,Chicago,Yes
240,No,2020-10-01 00:00:00,2020-11-15 00:00:00,E,Cloud Security Enablement Phase 1,ML,Denver,No
241,No,2020-01-01 00:00:00,2020-12-15 00:00:00,C,Cloud Security Enablement Phase 1,Oracle,Boston,Yes
242,No,2020-03-01 00:00:00,2020-07-15 00:00:00,C,Journey2Cloud,Java,NYC,No
243,Yes,2020-02-01 00:00:00,2020-09-15 00:00:00,D,Malware Analysis & Countermeasures (MAC),Cloud,Denver,Yes
244,Yes,2020-09-01 00:00:00,2020-01-15 00:00:00,H,AT&T Application Scanning,Oracle,NYC,No
245,No,2020-01-01 00:00:00,2020-02-15 00:00:00,D,AT&T Application Scanning,Java,Boston,No
246,No,2020-08-01 00:00:00,2020-01-15 00:00:00,G,Journey2Cloud,ML,Denver,No
247,Yes,2020-09-01 00:00:00,2020-06-15 00:00:00,B,Chevron Cloud Security,Oracle,NYC,Yes
248,No,2020-01-01 00:00:00,2020-12-15 00:00:00,A,Malware Analysis & Countermeasures (MAC),Python,Denver,Yes
249,No,2020-01-01 00:00:00,2020-07-15 00:00:00,H,Cloud Security Enablement Phase 1,Cloud,DC,Yes
250,No,2020-02-01 00:00:00,2020-05-15 00:00:00,G,Journey2Cloud,Cloud,NYC,Yes
251,No,2020-04-01 00:00:00,2020-07-15 00:00:00,F,Chevron Cloud Security,ML,DC,No
252,Yes,2020-12-01 00:00:00,2020-07-15 00:00:00,G,Chevron Cloud Security,ML,Denver,Yes
253,Yes,2020-12-01 00:00:00,2020-11-15 00:00:00,G,Cloud Security Enablement Phase 1,Java,Boston,Yes
