UID,Service,Talent Segment,Role,Level,Skills,Certs,Coming Available,Market Unit,Local Office
37,Technology,Security,Cloud Security Analyst,2,Python,CISSP,2020-10-01 00:00:00,South,NYC
38,Strategy & Consulting,Human Resources,Cloud Security Analyst,11,Cloud,IBD DSPC,2020-01-01 00:00:00,West,Chicago
39,Technology,IT Operations,Cloud Security Analyst,2,ML,CISSP,2020-05-01 00:00:00,South,Denver
40,Technology,Finance,Cloud Security Analyst,6,ML,AWS SA,2020-11-01 00:00:00,Northeast,Denver
41,Technology,Design,Security Consulting Senior Analyst,11,Java,IBD DSPC,2020-02-01 00:00:00,South,Chicago
42,Strategy & Consulting,Business,Security Consulting Senior Analyst,7,Cloud,CAP,2020-05-01 00:00:00,South,DC
43,Operations,Legal,Cloud Security Analyst,10,Oracle,IBD DSPC,2020-08-01 00:00:00,South,Chicago
44,Strategy & Consulting,Legal,Consulting Development Analyst,1,Python,AWS SA,2020-06-01 00:00:00,Midwest,NYC
45,Technology,Legal,Security Consulting Analyst,6,Python,CAP,2020-07-01 00:00:00,Northeast,DC
46,Strategy & Consulting,Consulting,Consulting Development Senior Analyst,11,Cloud,CAP,2020-06-01 00:00:00,Midwest,Chicago
47,Strategy & Consulting,Engineering,Security Consulting Senior Analyst,6,Python,AWS SA,2020-12-01 00:00:00,Midwest,Boston
48,Strategy & Consulting,Account Leadership,Consulting Development Senior Analyst,8,ML,CAP,2020-03-01 00:00:00,Midwest,Boston
49,Operations,Engineering,Consulting Development Analyst,8,Oracle,AWS SA,2020-04-01 00:00:00,Midwest,Denver
50,Technology,Strategy,Security Consulting Senior Analyst,10,Python,AWS SA,2020-11-01 00:00:00,West,DC
51,Strategy & Consulting,Account Leadership,Security Consulting Senior Analyst,10,Python,CAP,2020-03-01 00:00:00,South,Boston
52,Technology,Strategy,Security Consulting Analyst,8,Python,IBD DSPC,2020-01-01 00:00:00,Northeast,NYC
53,Strategy & Consulting,IT Operations,Cloud Security Senior Analyst,5,Python,AWS SA,2020-09-01 00:00:00,Midwest,DC
54,Technology,Design,Consulting Development Analyst,3,Oracle,CISSP,2020-05-01 00:00:00,Northeast,NYC
55,Technology,Consulting,Consulting Development Senior Analyst,8,Python,IBD DSPC,2020-02-01 00:00:00,Northeast,DC
56,Strategy & Consulting,Finance,Consulting Development Analyst,10,Java,IBD DSPC,2020-11-01 00:00:00,West,Chicago
57,Technology,Security,Cloud Security Senior Analyst,10,Oracle,CAP,2020-09-01 00:00:00,Northeast,DC
58,Operations,Legal,Security Consulting Senior Analyst,2,Oracle,IBD DSPC,2020-08-01 00:00:00,South,Chicago
59,Strategy & Consulting,Engineering,Cloud Security Analyst,1,Java,CISSP,2020-02-01 00:00:00,Northeast,DC
60,Technology,Strategy,Cloud Security Senior Analyst,3,Cloud,IBD DSPC,2020-06-01 00:00:00,Midwest,Chicago
61,Strategy & Consulting,Legal,Consulting Development Analyst,11,ML,CISSP,2020-08-01 00:00:00,South,Boston
62,Operations,Consulting,Security Consulting Senior Analyst,6,Python,AWS SA,2020-10-01 00:00:00,Northeast,Chicago
63,Interactive,Account Leadership,Consulting Development Senior Analyst,4,Java,AWS SA,2020-09-01 00:00:00,Northeast,Chicago
64,Strategy & Consulting,Finance,Consulting Development Analyst,8,Cloud,AWS SA,2020-10-01 00:00:00,West,NYC
65,Operations,Security,Cloud Security Analyst,10,Oracle,CISSP,2020-10-01 00:00:00,Northeast,Boston
66,Technology,Strategy,Security Consulting Analyst,7,Java,CISSP,2020-03-01 00:00:00,South,NYC
67,Technology,Consulting,Security Consulting Analyst,3,Java,IBD DSPC,2020-01-01 00:00:00,South,Chicago
68,Technology,IT Operations,Consulting Development Senior Analyst,2,ML,CISSP,2020-05-01 00:00:00,Midwest,Boston
69,Strategy & Consulting,Human Resources,Cloud Security Analyst,8,Python,CAP,2020-05-01 00:00:00,Northeast,Chicago
70,Technology,Legal,Cloud Security Senior Analyst,9,Python,CISSP,2020-11-01 00:00:00,Midwest,DC
71,Strategy & Consulting,IT Operations,Security Consulting Senior Analyst,2,Java,CISSP,2020-10-01 00:00:00,South,Boston
72,Technology,Engineering,Consulting Development Senior Analyst,1,ML,CAP,2020-08-01 00:00:00,Northeast,Denver
73,Technology,IT Operations,Security Consulting Analyst,8,Python,CISSP,2020-04-01 00:00:00,South,Chicago
74,Strategy & Consulting,Security,Security Consulting Senior Analyst,8,Cloud,IBD DSPC,2020-05-01 00:00:00,West,Denver
75,Strategy & Consulting,Legal,Security Consulting Analyst,4,ML,CISSP,2020-11-01 00:00:00,West,NYC
76,Strategy & Consulting,Security,Cloud Security Senior Analyst,3,ML,CISSP,2020-09-01 00:00:00,Northeast,Boston
77,Technology,Engineering,Security Consulting Analyst,2,ML,IBD DSPC,2020-03-01 00:00:00,West,NYC
78,Strategy & Consulting,Consulting,Security Consulting Senior Analyst,2,ML,AWS SA,2020-09-01 00:00:00,West,DC
79,Interactive,Strategy,Consulting Development Analyst,1,Java,AWS SA,2020-07-01 00:00:00,West,Chicago
80,Strategy & Consulting,Consulting,Consulting Development Analyst,11,Python,CISSP,2020-06-01 00:00:00,South,DC
81,Technology,Legal,Security Consulting Analyst,4,Java,AWS SA,2020-05-01 00:00:00,South,Boston
82,Operations,Finance,Cloud Security Analyst,5,ML,IBD DSPC,2020-10-01 00:00:00,Northeast,Denver
83,Operations,Consulting,Consulting Development Senior Analyst,3,Python,CAP,2020-09-01 00:00:00,West,Chicago
84,Operations,Consulting,Security Consulting Analyst,1,Python,CAP,2020-11-01 00:00:00,Northeast,Chicago
85,Operations,Legal,Cloud Security Analyst,4,Cloud,IBD DSPC,2020-08-01 00:00:00,Midwest,NYC
86,Operations,Account Leadership,Cloud Security Senior Analyst,10,Oracle,AWS SA,2020-07-01 00:00:00,Midwest,Denver
87,Interactive,Human Resources,Cloud Security Senior Analyst,11,Cloud,CAP,2020-11-01 00:00:00,Northeast,Boston
88,Strategy & Consulting,Strategy,Consulting Development Senior Analyst,8,Java,AWS SA,2020-10-01 00:00:00,Midwest,DC
89,Interactive,Legal,Cloud Security Senior Analyst,1,Java,CISSP,2020-03-01 00:00:00,Midwest,NYC
90,Operations,Design,Cloud Security Analyst,8,Java,CAP,2020-10-01 00:00:00,South,DC
91,Technology,Account Leadership,Security Consulting Analyst,10,Java,IBD DSPC,2020-05-01 00:00:00,West,NYC
92,Technology,Account Leadership,Cloud Security Analyst,11,Python,CISSP,2020-05-01 00:00:00,Midwest,Chicago
93,Strategy & Consulting,Consulting,Security Consulting Senior Analyst,6,Java,CAP,2020-04-01 00:00:00,Midwest,Chicago
94,Strategy & Consulting,Engineering,Consulting Development Analyst,9,ML,IBD DSPC,2020-08-01 00:00:00,Midwest,DC
95,Technology,Design,Consulting Development Senior Analyst,3,ML,CAP,2020-07-01 00:00:00,West,Boston
96,Interactive,Engineering,Consulting Development Senior Analyst,11,Java,CISSP,2020-08-01 00:00:00,Midwest,Chicago
97,Strategy & Consulting,Human Resources,Cloud Security Senior Analyst,2,Python,AWS SA,2020-09-01 00:00:00,Northeast,Boston
98,Operations,Business,Cloud Security Analyst,11,ML,AWS SA,2020-04-01 00:00:00,Midwest,Boston
99,Operations,IT Operations,Consulting Development Senior Analyst,5,Java,CAP,2020-05-01 00:00:00,South,Chicago
100,Technology,Legal,Cloud Security Analyst,2,Python,CISSP,2020-11-01 00:00:00,West,NYC
101,Operations,Strategy,Security Consulting Analyst,7,Oracle,AWS SA,2020-01-01 00:00:00,Northeast,DC
102,Technology,Business,Cloud Security Senior Analyst,2,Oracle,AWS SA,2020-10-01 00:00:00,South,DC
103,Technology,Security,Consulting Development Analyst,5,ML,CAP,2020-12-01 00:00:00,Midwest,Denver
104,Interactive,Security,Security Consulting Analyst,8,ML,CAP,2020-04-01 00:00:00,West,Denver
105,Operations,Legal,Cloud Security Analyst,5,Python,CISSP,2020-09-01 00:00:00,Northeast,NYC
106,Interactive,Strategy,Cloud Security Analyst,10,Oracle,CISSP,2020-11-01 00:00:00,Midwest,Denver
107,Operations,Design,Cloud Security Analyst,1,Cloud,CAP,2020-09-01 00:00:00,Northeast,NYC
108,Technology,IT Operations,Security Consulting Analyst,10,Java,AWS SA,2020-01-01 00:00:00,South,Denver
109,Strategy & Consulting,Human Resources,Cloud Security Analyst,3,ML,CISSP,2020-06-01 00:00:00,Midwest,Chicago
110,Operations,IT Operations,Security Consulting Analyst,11,ML,IBD DSPC,2020-12-01 00:00:00,Midwest,Boston
111,Interactive,Human Resources,Security Consulting Analyst,4,Java,CISSP,2020-08-01 00:00:00,South,DC
112,Technology,Strategy,Security Consulting Analyst,8,Cloud,CAP,2020-07-01 00:00:00,West,Denver
113,Operations,Engineering,Cloud Security Analyst,1,Cloud,CAP,2020-03-01 00:00:00,West,Denver
114,Technology,Security,Consulting Development Senior Analyst,9,Cloud,CISSP,2020-06-01 00:00:00,Midwest,DC
115,Technology,Legal,Security Consulting Senior Analyst,3,Python,AWS SA,2020-09-01 00:00:00,Midwest,NYC
116,Strategy & Consulting,Account Leadership,Security Consulting Senior Analyst,10,ML,CISSP,2020-07-01 00:00:00,South,DC
117,Technology,Security,Security Consulting Analyst,5,Oracle,CISSP,2020-08-01 00:00:00,West,DC
118,Technology,Design,Security Consulting Analyst,6,Python,IBD DSPC,2020-09-01 00:00:00,Northeast,Chicago
119,Operations,IT Operations,Cloud Security Senior Analyst,11,ML,CISSP,2020-09-01 00:00:00,South,Denver
120,Technology,Engineering,Security Consulting Analyst,6,Java,CAP,2020-12-01 00:00:00,South,Denver
121,Technology,Finance,Cloud Security Analyst,6,Java,AWS SA,2020-02-01 00:00:00,South,Boston
122,Operations,Consulting,Security Consulting Senior Analyst,5,Oracle,CISSP,2020-01-01 00:00:00,South,Chicago
123,Interactive,Engineering,Consulting Development Senior Analyst,2,ML,IBD DSPC,2020-11-01 00:00:00,West,Denver
124,Interactive,Human Resources,Security Consulting Senior Analyst,11,Java,IBD DSPC,2020-05-01 00:00:00,South,Denver
125,Operations,Account Leadership,Cloud Security Senior Analyst,3,Python,IBD DSPC,2020-09-01 00:00:00,West,Boston
126,Strategy & Consulting,Human Resources,Cloud Security Analyst,10,ML,CISSP,2020-09-01 00:00:00,Midwest,DC
127,Interactive,Finance,Consulting Development Analyst,5,Oracle,CISSP,2020-10-01 00:00:00,Midwest,DC
128,Strategy & Consulting,Human Resources,Consulting Development Analyst,1,Python,AWS SA,2020-07-01 00:00:00,South,Denver
129,Operations,Design,Security Consulting Analyst,3,Java,AWS SA,2020-04-01 00:00:00,Northeast,Chicago
130,Interactive,Consulting,Cloud Security Analyst,3,ML,IBD DSPC,2020-08-01 00:00:00,South,Chicago
131,Technology,Strategy,Security Consulting Analyst,10,Python,CISSP,2020-06-01 00:00:00,Northeast,Denver
132,Strategy & Consulting,Account Leadership,Security Consulting Analyst,9,Python,CISSP,2020-12-01 00:00:00,West,DC
133,Strategy & Consulting,Account Leadership,Security Consulting Analyst,3,Java,IBD DSPC,2020-01-01 00:00:00,Midwest,NYC
134,Operations,Account Leadership,Security Consulting Senior Analyst,1,Python,CAP,2020-09-01 00:00:00,Midwest,Chicago
135,Strategy & Consulting,Account Leadership,Security Consulting Analyst,11,Oracle,CISSP,2020-09-01 00:00:00,West,DC
136,Technology,Consulting,Cloud Security Analyst,2,Python,CAP,2020-07-01 00:00:00,West,DC
137,Technology,Security,Security Consulting Senior Analyst,5,Java,AWS SA,2020-05-01 00:00:00,Midwest,Boston
138,Interactive,Legal,Consulting Development Senior Analyst,3,Cloud,CISSP,2020-06-01 00:00:00,West,Chicago
139,Technology,Human Resources,Cloud Security Analyst,7,Oracle,IBD DSPC,2020-09-01 00:00:00,South,Denver
140,Operations,Consulting,Security Consulting Senior Analyst,2,ML,CAP,2020-01-01 00:00:00,West,Denver
141,Interactive,Security,Consulting Development Senior Analyst,7,ML,CISSP,2020-11-01 00:00:00,Midwest,NYC
142,Strategy & Consulting,Design,Consulting Development Senior Analyst,1,Python,CISSP,2020-03-01 00:00:00,South,Chicago
143,Interactive,Design,Cloud Security Analyst,9,Cloud,CISSP,2020-05-01 00:00:00,West,Denver
144,Operations,Finance,Security Consulting Analyst,3,Java,CAP,2020-02-01 00:00:00,Midwest,Chicago
145,Strategy & Consulting,Strategy,Cloud Security Senior Analyst,1,ML,CISSP,2020-02-01 00:00:00,West,Chicago
146,Operations,Account Leadership,Security Consulting Senior Analyst,2,Oracle,CAP,2020-12-01 00:00:00,South,NYC
147,Operations,Engineering,Cloud Security Senior Analyst,5,Oracle,AWS SA,2020-08-01 00:00:00,Northeast,Denver
148,Technology,Account Leadership,Security Consulting Analyst,4,Oracle,IBD DSPC,2020-07-01 00:00:00,Northeast,Chicago
149,Technology,Engineering,Security Consulting Analyst,6,Java,IBD DSPC,2020-11-01 00:00:00,West,Denver
150,Technology,Account Leadership,Consulting Development Senior Analyst,10,Oracle,CISSP,2020-06-01 00:00:00,Midwest,Chicago
151,Technology,Consulting,Cloud Security Analyst,3,Oracle,CISSP,2020-03-01 00:00:00,Northeast,Denver
152,Operations,Consulting,Consulting Development Analyst,2,ML,CAP,2020-11-01 00:00:00,West,NYC
153,Technology,IT Operations,Consulting Development Senior Analyst,7,Python,CISSP,2020-04-01 00:00:00,West,DC
154,Operations,Business,Consulting Development Analyst,7,Java,CISSP,2020-08-01 00:00:00,South,NYC
155,Technology,Finance,Consulting Development Senior Analyst,2,Java,IBD DSPC,2020-07-01 00:00:00,South,Boston
156,Operations,Strategy,Security Consulting Senior Analyst,3,Oracle,AWS SA,2020-10-01 00:00:00,West,NYC
157,Technology,Account Leadership,Security Consulting Senior Analyst,9,ML,IBD DSPC,2020-08-01 00:00:00,West,DC
158,Operations,Finance,Cloud Security Senior Analyst,6,Oracle,CISSP,2020-05-01 00:00:00,South,Denver
159,Operations,Strategy,Security Consulting Analyst,7,Oracle,AWS SA,2020-01-01 00:00:00,Midwest,DC
160,Strategy & Consulting,Business,Cloud Security Senior Analyst,10,Cloud,IBD DSPC,2020-03-01 00:00:00,Midwest,NYC
161,Operations,Design,Security Consulting Senior Analyst,10,Oracle,AWS SA,2020-01-01 00:00:00,South,Denver
162,Strategy & Consulting,Finance,Cloud Security Senior Analyst,6,Python,CISSP,2020-02-01 00:00:00,Northeast,Denver
163,Strategy & Consulting,IT Operations,Security Consulting Analyst,2,Oracle,CISSP,2020-07-01 00:00:00,West,Chicago
164,Technology,Engineering,Consulting Development Senior Analyst,1,Cloud,CISSP,2020-11-01 00:00:00,Northeast,Chicago
165,Operations,Strategy,Cloud Security Senior Analyst,4,ML,AWS SA,2020-09-01 00:00:00,West,Chicago
166,Strategy & Consulting,Finance,Consulting Development Senior Analyst,1,ML,AWS SA,2020-07-01 00:00:00,Midwest,Chicago
167,Operations,IT Operations,Cloud Security Senior Analyst,6,ML,IBD DSPC,2020-03-01 00:00:00,Midwest,Denver
168,Technology,Security,Consulting Development Senior Analyst,11,Java,AWS SA,2020-07-01 00:00:00,South,Denver
169,Technology,Security,Cloud Security Analyst,11,Java,AWS SA,2020-09-01 00:00:00,Midwest,Chicago
170,Strategy & Consulting,Security,Cloud Security Senior Analyst,7,Oracle,IBD DSPC,2020-06-01 00:00:00,Midwest,Denver
171,Strategy & Consulting,Legal,Cloud Security Senior Analyst,7,Java,AWS SA,2020-04-01 00:00:00,South,DC
172,Operations,Legal,Consulting Development Analyst,8,Java,CISSP,2020-07-01 00:00:00,Midwest,Denver
173,Operations,Consulting,Consulting Development Analyst,3,Cloud,IBD DSPC,2020-04-01 00:00:00,South,Denver
174,Strategy & Consulting,IT Operations,Cloud Security Analyst,9,Python,AWS SA,2020-12-01 00:00:00,South,DC
175,Strategy & Consulting,Engineering,Cloud Security Analyst,9,Oracle,IBD DSPC,2020-11-01 00:00:00,South,DC
176,Interactive,Account Leadership,Cloud Security Senior Analyst,4,Java,CISSP,2020-11-01 00:00:00,Northeast,NYC
177,Technology,Security,Cloud Security Analyst,6,Python,CISSP,2020-11-01 00:00:00,West,Chicago
178,Strategy & Consulting,Security,Consulting Development Senior Analyst,10,ML,IBD DSPC,2020-02-01 00:00:00,West,Boston
179,Interactive,IT Operations,Security Consulting Senior Analyst,8,Oracle,AWS SA,2020-08-01 00:00:00,Northeast,Denver
180,Interactive,Engineering,Security Consulting Analyst,5,Java,AWS SA,2020-08-01 00:00:00,Midwest,Denver
181,Operations,Strategy,Cloud Security Analyst,1,Python,IBD DSPC,2020-11-01 00:00:00,South,Boston
182,Interactive,Consulting,Consulting Development Senior Analyst,3,ML,CAP,2020-07-01 00:00:00,West,NYC
183,Strategy & Consulting,Human Resources,Security Consulting Analyst,6,Oracle,CAP,2020-05-01 00:00:00,Northeast,NYC
184,Strategy & Consulting,Business,Security Consulting Analyst,2,Python,CAP,2020-03-01 00:00:00,Midwest,DC
185,Strategy & Consulting,Business,Consulting Development Analyst,7,Java,IBD DSPC,2020-11-01 00:00:00,West,NYC
186,Strategy & Consulting,Finance,Security Consulting Senior Analyst,11,Python,CAP,2020-02-01 00:00:00,Northeast,Boston
187,Strategy & Consulting,Finance,Security Consulting Senior Analyst,5,Oracle,IBD DSPC,2020-06-01 00:00:00,Northeast,NYC
188,Technology,Consulting,Security Consulting Senior Analyst,10,Java,CISSP,2020-01-01 00:00:00,Midwest,Denver
189,Interactive,Finance,Consulting Development Analyst,4,Oracle,IBD DSPC,2020-11-01 00:00:00,Midwest,Denver
190,Strategy & Consulting,Legal,Cloud Security Analyst,3,Java,CISSP,2020-06-01 00:00:00,South,Boston
191,Interactive,Legal,Consulting Development Senior Analyst,8,ML,CISSP,2020-03-01 00:00:00,Midwest,NYC
192,Interactive,Consulting,Consulting Development Analyst,1,Cloud,CAP,2020-06-01 00:00:00,West,Denver
193,Strategy & Consulting,Finance,Cloud Security Analyst,2,Python,IBD DSPC,2020-02-01 00:00:00,South,DC
194,Operations,Legal,Consulting Development Analyst,11,Python,AWS SA,2020-07-01 00:00:00,Northeast,Boston
195,Technology,Legal,Consulting Development Analyst,8,Java,AWS SA,2020-01-01 00:00:00,Northeast,Boston
196,Strategy & Consulting,IT Operations,Security Consulting Senior Analyst,5,Cloud,AWS SA,2020-03-01 00:00:00,Northeast,Chicago
197,Technology,Account Leadership,Cloud Security Analyst,4,Oracle,CISSP,2020-04-01 00:00:00,Midwest,NYC
198,Strategy & Consulting,Finance,Cloud Security Senior Analyst,7,Python,IBD DSPC,2020-05-01 00:00:00,South,DC
199,Operations,Security,Security Consulting Senior Analyst,5,Python,IBD DSPC,2020-07-01 00:00:00,Northeast,Boston
200,Operations,Finance,Security Consulting Analyst,9,ML,CISSP,2020-10-01 00:00:00,Northeast,Denver
201,Technology,Legal,Consulting Development Analyst,3,Cloud,CISSP,2020-02-01 00:00:00,West,DC
202,Interactive,Account Leadership,Cloud Security Analyst,10,Cloud,CAP,2020-03-01 00:00:00,Midwest,Boston
203,Operations,Account Leadership,Cloud Security Analyst,6,Java,IBD DSPC,2020-03-01 00:00:00,Midwest,NYC
204,Technology,Design,Cloud Security Analyst,5,Java,CAP,2020-08-01 00:00:00,West,Chicago
205,Technology,Human Resources,Consulting Development Analyst,7,ML,CAP,2020-04-01 00:00:00,Midwest,DC
206,Technology,Design,Security Consulting Analyst,4,Cloud,CISSP,2020-01-01 00:00:00,South,DC
207,Interactive,Business,Security Consulting Senior Analyst,6,ML,CAP,2020-09-01 00:00:00,South,DC
208,Technology,Strategy,Cloud Security Analyst,6,Oracle,CISSP,2020-08-01 00:00:00,West,Denver
209,Interactive,Security,Security Consulting Analyst,1,Cloud,CISSP,2020-02-01 00:00:00,Northeast,NYC
210,Interactive,Finance,Consulting Development Analyst,4,Oracle,CISSP,2020-07-01 00:00:00,West,DC
211,Technology,Engineering,Consulting Development Analyst,6,Python,AWS SA,2020-03-01 00:00:00,Midwest,Boston
212,Technology,Business,Cloud Security Senior Analyst,8,Java,CAP,2020-05-01 00:00:00,Northeast,NYC
213,Operations,Business,Cloud Security Senior Analyst,7,Java,CISSP,2020-12-01 00:00:00,West,Denver
214,Operations,IT Operations,Cloud Security Senior Analyst,9,Python,IBD DSPC,2020-03-01 00:00:00,South,DC
215,Operations,IT Operations,Security Consulting Senior Analyst,1,ML,IBD DSPC,2020-08-01 00:00:00,Northeast,Denver
216,Strategy & Consulting,Strategy,Cloud Security Analyst,9,Oracle,AWS SA,2020-02-01 00:00:00,West,NYC
217,Operations,Design,Security Consulting Senior Analyst,3,Oracle,CAP,2020-12-01 00:00:00,South,Chicago
218,Interactive,Human Resources,Security Consulting Analyst,4,ML,IBD DSPC,2020-08-01 00:00:00,Northeast,Denver
219,Strategy & Consulting,Security,Security Consulting Analyst,7,Cloud,AWS SA,2020-04-01 00:00:00,West,NYC
220,Interactive,Account Leadership,Cloud Security Senior Analyst,11,Oracle,CISSP,2020-03-01 00:00:00,West,Denver
221,Operations,Legal,Security Consulting Analyst,1,Python,IBD DSPC,2020-01-01 00:00:00,Midwest,Boston
222,Interactive,IT Operations,Consulting Development Analyst,7,ML,AWS SA,2020-01-01 00:00:00,West,Boston
223,Operations,Account Leadership,Consulting Development Analyst,3,Python,IBD DSPC,2020-01-01 00:00:00,South,NYC
224,Interactive,Account Leadership,Consulting Development Analyst,9,ML,AWS SA,2020-04-01 00:00:00,Midwest,Chicago
225,Technology,Design,Cloud Security Senior Analyst,2,ML,IBD DSPC,2020-09-01 00:00:00,Northeast,DC
226,Technology,Legal,Security Consulting Analyst,8,Oracle,CAP,2020-10-01 00:00:00,West,NYC
227,Strategy & Consulting,Business,Consulting Development Analyst,9,Oracle,CAP,2020-02-01 00:00:00,South,DC
228,Strategy & Consulting,IT Operations,Consulting Development Analyst,6,Python,AWS SA,2020-12-01 00:00:00,South,NYC
229,Technology,Design,Security Consulting Analyst,6,ML,CAP,2020-06-01 00:00:00,Midwest,Chicago
230,Operations,Business,Cloud Security Senior Analyst,7,Java,IBD DSPC,2020-12-01 00:00:00,Northeast,Boston
231,Operations,Design,Consulting Development Analyst,7,Oracle,AWS SA,2020-08-01 00:00:00,Northeast,DC
232,Technology,Human Resources,Cloud Security Senior Analyst,2,ML,CISSP,2020-03-01 00:00:00,Midwest,Denver
233,Interactive,Strategy,Security Consulting Analyst,1,Oracle,AWS SA,2020-12-01 00:00:00,Northeast,Boston
234,Strategy & Consulting,Account Leadership,Security Consulting Senior Analyst,6,Python,AWS SA,2020-05-01 00:00:00,Midwest,DC
235,Operations,IT Operations,Consulting Development Senior Analyst,6,Java,CISSP,2020-01-01 00:00:00,Northeast,Chicago
236,Operations,Security,Consulting Development Analyst,3,ML,AWS SA,2020-09-01 00:00:00,South,Denver
237,Interactive,IT Operations,Cloud Security Analyst,2,Oracle,CAP,2020-05-01 00:00:00,South,NYC
238,Interactive,Legal,Consulting Development Analyst,11,Python,IBD DSPC,2020-05-01 00:00:00,Northeast,NYC
239,Technology,Account Leadership,Consulting Development Senior Analyst,11,Oracle,CISSP,2020-06-01 00:00:00,Northeast,Denver
240,Technology,IT Operations,Security Consulting Senior Analyst,11,Python,IBD DSPC,2020-07-01 00:00:00,Northeast,Denver
241,Technology,Security,Security Consulting Analyst,8,ML,IBD DSPC,2020-11-01 00:00:00,South,Chicago
242,Interactive,Engineering,Consulting Development Analyst,9,Oracle,CAP,2020-09-01 00:00:00,Midwest,DC
243,Interactive,Finance,Security Consulting Senior Analyst,9,Oracle,IBD DSPC,2020-03-01 00:00:00,West,Chicago
244,Operations,Design,Consulting Development Analyst,9,ML,IBD DSPC,2020-08-01 00:00:00,South,Boston
