UID,Service,Talent Segment,Role,Level,Skills,Certs,Coming Available,Market Unit,Local Office
25,Technology,Account Leadership,Consulting Development Senior Analyst,11,Cloud,IBD DSPC,2020-07-01 00:00:00,South,Chicago
26,Technology,IT Operations,Security Consulting Analyst,1,Java,CAP,2020-12-01 00:00:00,West,NYC
27,Technology,Legal,Security Consulting Analyst,11,ML,IBD DSPC,2020-10-01 00:00:00,Northeast,NYC
28,Interactive,Design,Cloud Security Analyst,1,Java,IBD DSPC,2020-12-01 00:00:00,Midwest,Chicago
29,Operations,Finance,Consulting Development Senior Analyst,2,Python,CISSP,2020-03-01 00:00:00,Northeast,Chicago
30,Technology,Security,Cloud Security Senior Analyst,10,Python,CAP,2020-08-01 00:00:00,Midwest,Denver
31,Technology,Design,Cloud Security Analyst,1,Cloud,IBD DSPC,2020-11-01 00:00:00,West,Boston
32,Operations,Legal,Consulting Development Analyst,4,Python,CAP,2020-07-01 00:00:00,South,NYC
33,Technology,Strategy,Cloud Security Analyst,3,Oracle,AWS SA,2020-12-01 00:00:00,West,Denver
34,Technology,Engineering,Cloud Security Senior Analyst,11,Cloud,CAP,2020-03-01 00:00:00,Northeast,NYC
35,Strategy & Consulting,IT Operations,Cloud Security Senior Analyst,1,Oracle,CAP,2020-10-01 00:00:00,Midwest,Chicago
36,Strategy & Consulting,Consulting,Cloud Security Senior Analyst,9,Python,CISSP,2020-01-01 00:00:00,West,NYC
37,Operations,Legal,Security Consulting Analyst,4,Java,CAP,2020-08-01 00:00:00,South,Chicago
38,Strategy & Consulting,IT Operations,Security Consulting Senior Analyst,2,Cloud,CAP,2020-03-01 00:00:00,West,DC
39,Strategy & Consulting,Engineering,Security Consulting Analyst,1,Python,CISSP,2020-09-01 00:00:00,West,NYC
40,Operations,Consulting,Security Consulting Analyst,2,Java,CAP,2020-01-01 00:00:00,Midwest,Denver
41,Operations,IT Operations,Consulting Development Senior Analyst,8,Oracle,CAP,2020-05-01 00:00:00,West,NYC
42,Operations,Security,Cloud Security Analyst,9,Python,CAP,2020-08-01 00:00:00,West,Boston
43,Operations,Security,Consulting Development Senior Analyst,11,Oracle,AWS SA,2020-02-01 00:00:00,West,Denver
44,Interactive,Design,Consulting Development Analyst,10,Java,IBD DSPC,2020-05-01 00:00:00,Midwest,NYC
45,Strategy & Consulting,Consulting,Consulting Development Senior Analyst,1,Java,CAP,2020-10-01 00:00:00,Midwest,Boston
46,Operations,Account Leadership,Cloud Security Senior Analyst,9,ML,AWS SA,2020-03-01 00:00:00,South,DC
47,Interactive,Design,Security Consulting Senior Analyst,11,ML,IBD DSPC,2020-11-01 00:00:00,Northeast,Denver
48,Strategy & Consulting,Finance,Cloud Security Senior Analyst,10,ML,CAP,2020-07-01 00:00:00,South,NYC
49,Strategy & Consulting,Strategy,Consulting Development Analyst,4,Python,AWS SA,2020-04-01 00:00:00,Northeast,Denver
50,Interactive,Consulting,Security Consulting Senior Analyst,5,Oracle,AWS SA,2020-07-01 00:00:00,Midwest,DC
51,Interactive,IT Operations,Consulting Development Analyst,2,ML,IBD DSPC,2020-07-01 00:00:00,West,Chicago
52,Strategy & Consulting,Security,Consulting Development Analyst,8,Cloud,CAP,2020-01-01 00:00:00,Midwest,NYC
53,Technology,Human Resources,Security Consulting Senior Analyst,5,Oracle,CISSP,2020-11-01 00:00:00,Midwest,Boston
54,Technology,Human Resources,Cloud Security Analyst,1,Python,CAP,2020-12-01 00:00:00,Midwest,NYC
55,Operations,IT Operations,Consulting Development Senior Analyst,2,Java,AWS SA,2020-11-01 00:00:00,Midwest,Boston
56,Operations,Engineering,Cloud Security Senior Analyst,1,ML,AWS SA,2020-11-01 00:00:00,South,Boston
57,Technology,Engineering,Cloud Security Analyst,7,Oracle,CISSP,2020-11-01 00:00:00,Midwest,Chicago
58,Interactive,Legal,Cloud Security Analyst,9,ML,CISSP,2020-02-01 00:00:00,South,DC
59,Strategy & Consulting,Engineering,Security Consulting Senior Analyst,7,Oracle,CISSP,2020-05-01 00:00:00,Northeast,DC
60,Operations,Human Resources,Security Consulting Analyst,7,Cloud,IBD DSPC,2020-03-01 00:00:00,Northeast,Boston
61,Operations,Business,Cloud Security Analyst,8,Python,CAP,2020-10-01 00:00:00,Midwest,NYC
62,Strategy & Consulting,Legal,Cloud Security Analyst,4,Java,CISSP,2020-03-01 00:00:00,West,Denver
63,Technology,IT Operations,Cloud Security Analyst,7,Oracle,IBD DSPC,2020-03-01 00:00:00,South,DC
64,Interactive,Business,Consulting Development Senior Analyst,11,Java,IBD DSPC,2020-11-01 00:00:00,South,NYC
65,Technology,Strategy,Consulting Development Analyst,5,Java,CISSP,2020-05-01 00:00:00,South,DC
66,Interactive,Legal,Consulting Development Senior Analyst,5,Python,CISSP,2020-06-01 00:00:00,Northeast,Chicago
67,Operations,Business,Consulting Development Senior Analyst,7,Cloud,CAP,2020-12-01 00:00:00,West,Chicago
68,Technology,Security,Consulting Development Senior Analyst,2,ML,CISSP,2020-08-01 00:00:00,Northeast,Boston
69,Operations,IT Operations,Security Consulting Analyst,7,Cloud,IBD DSPC,2020-09-01 00:00:00,South,DC
70,Operations,Account Leadership,Consulting Development Senior Analyst,7,Python,CAP,2020-04-01 00:00:00,Northeast,Boston
71,Interactive,Consulting,Cloud Security Analyst,8,Python,CAP,2020-02-01 00:00:00,Midwest,DC
72,Interactive,IT Operations,Security Consulting Senior Analyst,4,Oracle,AWS SA,2020-01-01 00:00:00,West,NYC
73,Strategy & Consulting,Account Leadership,Security Consulting Analyst,6,ML,AWS SA,2020-11-01 00:00:00,Northeast,Boston
74,Technology,Security,Cloud Security Senior Analyst,5,ML,CAP,2020-03-01 00:00:00,West,Chicago
75,Strategy & Consulting,Legal,Security Consulting Senior Analyst,11,Oracle,IBD DSPC,2020-12-01 00:00:00,South,Denver
76,Interactive,Legal,Consulting Development Analyst,2,Java,CISSP,2020-03-01 00:00:00,South,Chicago
77,Operations,Human Resources,Security Consulting Analyst,9,Python,CISSP,2020-12-01 00:00:00,West,Chicago
78,Operations,Legal,Security Consulting Analyst,3,Cloud,AWS SA,2020-03-01 00:00:00,South,NYC
79,Operations,Strategy,Security Consulting Senior Analyst,6,Java,CAP,2020-04-01 00:00:00,Midwest,Denver
80,Interactive,Account Leadership,Consulting Development Analyst,7,Python,AWS SA,2020-08-01 00:00:00,Midwest,DC
81,Interactive,Finance,Cloud Security Analyst,10,Oracle,CISSP,2020-03-01 00:00:00,Midwest,Denver
82,Operations,Security,Consulting Development Senior Analyst,7,Cloud,AWS SA,2020-02-01 00:00:00,Midwest,Denver
83,Technology,IT Operations,Security Consulting Analyst,1,Java,CAP,2020-03-01 00:00:00,West,DC
84,Interactive,Consulting,Cloud Security Analyst,4,Cloud,AWS SA,2020-01-01 00:00:00,Midwest,Boston
85,Technology,Consulting,Consulting Development Analyst,9,Python,CAP,2020-03-01 00:00:00,South,NYC
86,Technology,Consulting,Cloud Security Senior Analyst,4,Java,CISSP,2020-01-01 00:00:00,Northeast,Denver
87,Strategy & Consulting,IT Operations,Consulting Development Analyst,2,ML,CISSP,2020-06-01 00:00:00,Northeast,NYC
88,Interactive,Finance,Cloud Security Senior Analyst,7,Cloud,CAP,2020-04-01 00:00:00,Midwest,Chicago
89,Interactive,IT Operations,Cloud Security Senior Analyst,9,ML,AWS SA,2020-04-01 00:00:00,South,Denver
90,Interactive,IT Operations,Consulting Development Analyst,11,Java,CISSP,2020-07-01 00:00:00,Midwest,Boston
91,Operations,Engineering,Cloud Security Senior Analyst,11,Java,CAP,2020-01-01 00:00:00,South,Chicago
92,Technology,Human Resources,Security Consulting Senior Analyst,9,Oracle,CAP,2020-08-01 00:00:00,Midwest,DC
93,Interactive,Account Leadership,Security Consulting Analyst,2,Python,AWS SA,2020-07-01 00:00:00,Midwest,Boston
94,Technology,Legal,Consulting Development Analyst,3,ML,CISSP,2020-04-01 00:00:00,South,NYC
95,Operations,Business,Cloud Security Senior Analyst,3,Cloud,CAP,2020-07-01 00:00:00,West,Boston
96,Operations,Legal,Security Consulting Analyst,2,Cloud,IBD DSPC,2020-04-01 00:00:00,Midwest,Chicago
97,Technology,Design,Cloud Security Senior Analyst,3,Oracle,IBD DSPC,2020-12-01 00:00:00,South,Boston
98,Operations,Human Resources,Consulting Development Analyst,11,Oracle,CISSP,2020-07-01 00:00:00,Northeast,NYC
99,Strategy & Consulting,IT Operations,Consulting Development Analyst,3,Python,AWS SA,2020-03-01 00:00:00,South,NYC
100,Technology,Strategy,Security Consulting Senior Analyst,10,Oracle,IBD DSPC,2020-07-01 00:00:00,Northeast,DC
101,Technology,Account Leadership,Cloud Security Senior Analyst,4,Python,CISSP,2020-09-01 00:00:00,Northeast,NYC
102,Interactive,Engineering,Consulting Development Senior Analyst,8,Python,CISSP,2020-12-01 00:00:00,South,Denver
103,Interactive,Engineering,Consulting Development Analyst,4,Cloud,IBD DSPC,2020-03-01 00:00:00,Midwest,DC
104,Technology,Human Resources,Cloud Security Senior Analyst,10,Python,IBD DSPC,2020-01-01 00:00:00,Northeast,Chicago
105,Operations,Finance,Cloud Security Senior Analyst,6,Java,AWS SA,2020-06-01 00:00:00,Northeast,Denver
106,Interactive,Human Resources,Consulting Development Analyst,10,ML,CISSP,2020-11-01 00:00:00,Midwest,Denver
107,Operations,Engineering,Security Consulting Analyst,3,Java,IBD DSPC,2020-11-01 00:00:00,Midwest,NYC
108,Technology,Business,Cloud Security Senior Analyst,11,Java,CISSP,2020-08-01 00:00:00,Midwest,Boston
109,Operations,Design,Security Consulting Analyst,6,Java,CAP,2020-09-01 00:00:00,South,Boston
110,Operations,Design,Cloud Security Analyst,11,Oracle,AWS SA,2020-09-01 00:00:00,West,Denver
111,Interactive,Security,Consulting Development Analyst,3,Python,CISSP,2020-03-01 00:00:00,South,DC
112,Strategy & Consulting,Human Resources,Consulting Development Analyst,11,Oracle,IBD DSPC,2020-06-01 00:00:00,South,Chicago
113,Interactive,Business,Consulting Development Analyst,2,Oracle,CAP,2020-07-01 00:00:00,West,Chicago
114,Interactive,Engineering,Consulting Development Analyst,2,Cloud,CISSP,2020-12-01 00:00:00,Midwest,DC
115,Interactive,Business,Security Consulting Analyst,5,ML,IBD DSPC,2020-12-01 00:00:00,South,Chicago
116,Technology,Design,Cloud Security Senior Analyst,9,ML,AWS SA,2020-11-01 00:00:00,Midwest,NYC
117,Operations,IT Operations,Cloud Security Senior Analyst,8,ML,IBD DSPC,2020-03-01 00:00:00,South,DC
118,Strategy & Consulting,Design,Security Consulting Senior Analyst,9,Python,CAP,2020-07-01 00:00:00,Northeast,Denver
119,Interactive,Strategy,Consulting Development Analyst,11,Cloud,CAP,2020-07-01 00:00:00,West,Boston
120,Interactive,Finance,Consulting Development Analyst,6,Cloud,CISSP,2020-05-01 00:00:00,West,Denver
121,Interactive,Legal,Cloud Security Analyst,3,Python,CISSP,2020-04-01 00:00:00,West,Boston
122,Interactive,Strategy,Consulting Development Senior Analyst,6,Python,AWS SA,2020-04-01 00:00:00,South,Denver
123,Strategy & Consulting,Security,Cloud Security Senior Analyst,4,Java,CISSP,2020-06-01 00:00:00,Midwest,DC
124,Technology,Account Leadership,Cloud Security Senior Analyst,5,Cloud,IBD DSPC,2020-05-01 00:00:00,Midwest,Boston
125,Strategy & Consulting,Account Leadership,Consulting Development Analyst,11,ML,CISSP,2020-01-01 00:00:00,Northeast,Chicago
126,Strategy & Consulting,Account Leadership,Security Consulting Analyst,2,ML,AWS SA,2020-02-01 00:00:00,South,NYC
127,Technology,Consulting,Cloud Security Analyst,10,Cloud,AWS SA,2020-09-01 00:00:00,West,Denver
128,Interactive,Strategy,Consulting Development Analyst,5,Cloud,CAP,2020-06-01 00:00:00,West,Boston
129,Technology,Strategy,Cloud Security Senior Analyst,3,Cloud,CAP,2020-01-01 00:00:00,South,Boston
130,Interactive,Business,Consulting Development Senior Analyst,5,Python,CISSP,2020-01-01 00:00:00,Northeast,Chicago
131,Operations,Strategy,Consulting Development Analyst,8,Java,IBD DSPC,2020-04-01 00:00:00,South,NYC
132,Technology,Finance,Security Consulting Senior Analyst,4,ML,CAP,2020-09-01 00:00:00,Northeast,Denver
133,Operations,Finance,Cloud Security Senior Analyst,3,ML,AWS SA,2020-01-01 00:00:00,South,Boston
134,Interactive,Strategy,Cloud Security Analyst,3,Oracle,CAP,2020-11-01 00:00:00,South,Boston
135,Interactive,Legal,Consulting Development Senior Analyst,9,Python,AWS SA,2020-06-01 00:00:00,Northeast,Boston
136,Interactive,Security,Security Consulting Analyst,4,Cloud,AWS SA,2020-01-01 00:00:00,Northeast,DC
137,Technology,Business,Cloud Security Senior Analyst,5,Java,IBD DSPC,2020-06-01 00:00:00,West,DC
138,Operations,Human Resources,Security Consulting Senior Analyst,6,Oracle,AWS SA,2020-08-01 00:00:00,South,Boston
139,Interactive,Finance,Security Consulting Analyst,7,Cloud,IBD DSPC,2020-10-01 00:00:00,South,Chicago
140,Technology,Strategy,Cloud Security Analyst,8,Python,AWS SA,2020-01-01 00:00:00,Midwest,Denver
141,Strategy & Consulting,Account Leadership,Consulting Development Senior Analyst,1,Cloud,CISSP,2020-02-01 00:00:00,West,Chicago
142,Interactive,Engineering,Consulting Development Senior Analyst,7,Oracle,AWS SA,2020-04-01 00:00:00,Northeast,DC
143,Technology,Strategy,Consulting Development Analyst,5,Java,IBD DSPC,2020-10-01 00:00:00,Midwest,Boston
144,Strategy & Consulting,Account Leadership,Security Consulting Senior Analyst,3,ML,CAP,2020-01-01 00:00:00,Northeast,DC
145,Interactive,Legal,Cloud Security Analyst,8,Python,CISSP,2020-09-01 00:00:00,South,Boston
146,Operations,Finance,Consulting Development Senior Analyst,3,Cloud,CAP,2020-05-01 00:00:00,Northeast,Boston
147,Interactive,Human Resources,Security Consulting Analyst,9,Cloud,CISSP,2020-11-01 00:00:00,West,Denver
148,Strategy & Consulting,Strategy,Cloud Security Senior Analyst,10,Oracle,IBD DSPC,2020-10-01 00:00:00,West,Denver
149,Technology,Legal,Cloud Security Analyst,9,Java,AWS SA,2020-02-01 00:00:00,West,Boston
150,Technology,Account Leadership,Consulting Development Analyst,7,Cloud,IBD DSPC,2020-03-01 00:00:00,Midwest,Chicago
151,Technology,Business,Security Consulting Analyst,10,Python,AWS SA,2020-06-01 00:00:00,Midwest,DC
152,Strategy & Consulting,Consulting,Cloud Security Analyst,1,Java,IBD DSPC,2020-04-01 00:00:00,South,Chicago
153,Interactive,Security,Security Consulting Senior Analyst,11,Java,CISSP,2020-10-01 00:00:00,South,Boston
154,Strategy & Consulting,Security,Security Consulting Analyst,4,Oracle,CISSP,2020-08-01 00:00:00,West,Denver
155,Operations,Engineering,Cloud Security Analyst,10,Oracle,AWS SA,2020-09-01 00:00:00,Midwest,Chicago
156,Strategy & Consulting,Business,Consulting Development Senior Analyst,3,Oracle,AWS SA,2020-08-01 00:00:00,Midwest,NYC
157,Operations,IT Operations,Security Consulting Analyst,3,Oracle,AWS SA,2020-01-01 00:00:00,Midwest,Denver
158,Operations,Engineering,Security Consulting Senior Analyst,3,Oracle,CISSP,2020-08-01 00:00:00,West,Boston
159,Technology,Design,Security Consulting Analyst,10,ML,IBD DSPC,2020-12-01 00:00:00,South,NYC
160,Strategy & Consulting,Human Resources,Security Consulting Senior Analyst,11,Oracle,CISSP,2020-07-01 00:00:00,Midwest,DC
161,Technology,Finance,Consulting Development Senior Analyst,4,Oracle,IBD DSPC,2020-02-01 00:00:00,Midwest,NYC
162,Operations,Legal,Consulting Development Senior Analyst,2,Java,IBD DSPC,2020-04-01 00:00:00,South,NYC
163,Technology,Strategy,Security Consulting Analyst,5,Cloud,AWS SA,2020-12-01 00:00:00,West,Chicago
164,Interactive,Security,Consulting Development Analyst,6,Oracle,IBD DSPC,2020-11-01 00:00:00,Northeast,Chicago
165,Operations,Human Resources,Cloud Security Analyst,6,Cloud,CISSP,2020-03-01 00:00:00,Midwest,DC
166,Interactive,Account Leadership,Consulting Development Analyst,3,Oracle,AWS SA,2020-09-01 00:00:00,Northeast,Boston
167,Interactive,Security,Security Consulting Senior Analyst,1,Cloud,AWS SA,2020-01-01 00:00:00,West,Denver
168,Strategy & Consulting,Finance,Security Consulting Senior Analyst,6,Python,AWS SA,2020-08-01 00:00:00,Northeast,DC
169,Operations,Security,Security Consulting Analyst,1,Java,CAP,2020-11-01 00:00:00,West,Denver
170,Interactive,Security,Cloud Security Analyst,8,Oracle,IBD DSPC,2020-06-01 00:00:00,South,DC
171,Technology,Design,Cloud Security Senior Analyst,3,Java,IBD DSPC,2020-02-01 00:00:00,Northeast,Chicago
172,Interactive,Security,Security Consulting Senior Analyst,8,ML,CISSP,2020-06-01 00:00:00,West,DC
173,Technology,Account Leadership,Cloud Security Analyst,5,Cloud,CAP,2020-03-01 00:00:00,West,DC
174,Interactive,Consulting,Security Consulting Senior Analyst,7,Python,CISSP,2020-08-01 00:00:00,West,Chicago
175,Strategy & Consulting,Finance,Consulting Development Senior Analyst,9,ML,CAP,2020-06-01 00:00:00,Midwest,Boston
176,Strategy & Consulting,Engineering,Security Consulting Analyst,3,ML,CAP,2020-02-01 00:00:00,Northeast,DC
177,Strategy & Consulting,Engineering,Security Consulting Senior Analyst,3,Python,CAP,2020-06-01 00:00:00,Midwest,Denver
178,Strategy & Consulting,Finance,Security Consulting Analyst,2,ML,AWS SA,2020-04-01 00:00:00,Northeast,Denver
179,Strategy & Consulting,Consulting,Security Consulting Senior Analyst,6,ML,CAP,2020-05-01 00:00:00,Midwest,Chicago
180,Technology,Account Leadership,Consulting Development Senior Analyst,10,Java,CISSP,2020-08-01 00:00:00,Midwest,DC
181,Strategy & Consulting,Account Leadership,Consulting Development Senior Analyst,10,Cloud,CAP,2020-08-01 00:00:00,Northeast,NYC
182,Operations,Account Leadership,Cloud Security Senior Analyst,2,Oracle,IBD DSPC,2020-10-01 00:00:00,Northeast,NYC
183,Operations,Consulting,Security Consulting Senior Analyst,7,Cloud,IBD DSPC,2020-07-01 00:00:00,Midwest,Boston
184,Interactive,Design,Cloud Security Senior Analyst,1,Oracle,AWS SA,2020-04-01 00:00:00,Midwest,NYC
185,Strategy & Consulting,Security,Cloud Security Senior Analyst,11,ML,CISSP,2020-11-01 00:00:00,West,Chicago
186,Operations,Consulting,Security Consulting Analyst,5,Java,CISSP,2020-09-01 00:00:00,South,Chicago
187,Interactive,Security,Consulting Development Senior Analyst,1,Oracle,CISSP,2020-01-01 00:00:00,Midwest,DC
188,Operations,Design,Cloud Security Analyst,7,ML,CISSP,2020-11-01 00:00:00,Northeast,Chicago
189,Strategy & Consulting,Security,Cloud Security Analyst,2,Python,IBD DSPC,2020-08-01 00:00:00,Midwest,NYC
190,Strategy & Consulting,Human Resources,Security Consulting Analyst,6,Python,CAP,2020-03-01 00:00:00,Midwest,NYC
191,Strategy & Consulting,Account Leadership,Cloud Security Senior Analyst,6,ML,IBD DSPC,2020-12-01 00:00:00,Northeast,Boston
192,Technology,Account Leadership,Security Consulting Analyst,2,ML,IBD DSPC,2020-12-01 00:00:00,Midwest,DC
193,Operations,IT Operations,Cloud Security Analyst,8,ML,AWS SA,2020-07-01 00:00:00,Northeast,Chicago
194,Operations,IT Operations,Security Consulting Analyst,3,Java,IBD DSPC,2020-02-01 00:00:00,Midwest,Boston
195,Technology,Consulting,Security Consulting Analyst,10,Oracle,IBD DSPC,2020-11-01 00:00:00,Midwest,Boston
196,Strategy & Consulting,Finance,Security Consulting Senior Analyst,5,ML,CAP,2020-10-01 00:00:00,Northeast,Denver
197,Operations,Security,Security Consulting Senior Analyst,5,ML,CISSP,2020-07-01 00:00:00,Northeast,Boston
198,Strategy & Consulting,Finance,Security Consulting Analyst,1,Oracle,IBD DSPC,2020-05-01 00:00:00,South,Boston
199,Operations,Consulting,Consulting Development Senior Analyst,2,Java,CAP,2020-11-01 00:00:00,Northeast,NYC
200,Interactive,Human Resources,Cloud Security Senior Analyst,5,Cloud,CAP,2020-11-01 00:00:00,Northeast,DC
201,Technology,Design,Security Consulting Senior Analyst,8,ML,IBD DSPC,2020-11-01 00:00:00,South,NYC
202,Operations,Account Leadership,Consulting Development Analyst,8,Java,CISSP,2020-11-01 00:00:00,West,Boston
203,Operations,Design,Cloud Security Senior Analyst,9,Oracle,CAP,2020-02-01 00:00:00,Northeast,Chicago
204,Interactive,IT Operations,Cloud Security Senior Analyst,4,Python,AWS SA,2020-12-01 00:00:00,South,NYC
205,Strategy & Consulting,Legal,Consulting Development Senior Analyst,1,Java,CAP,2020-08-01 00:00:00,Midwest,DC
206,Operations,Engineering,Security Consulting Senior Analyst,4,Oracle,CAP,2020-10-01 00:00:00,West,DC
207,Operations,Human Resources,Consulting Development Analyst,3,Cloud,CISSP,2020-12-01 00:00:00,West,Chicago
208,Interactive,Security,Security Consulting Senior Analyst,9,Cloud,IBD DSPC,2020-09-01 00:00:00,South,Boston
209,Strategy & Consulting,Finance,Consulting Development Senior Analyst,8,Python,CISSP,2020-06-01 00:00:00,Midwest,NYC
210,Interactive,Security,Cloud Security Analyst,5,Oracle,AWS SA,2020-02-01 00:00:00,South,Boston
211,Operations,Strategy,Consulting Development Senior Analyst,6,ML,AWS SA,2020-04-01 00:00:00,West,Chicago
212,Technology,Consulting,Cloud Security Analyst,4,Cloud,CAP,2020-11-01 00:00:00,Midwest,NYC
213,Strategy & Consulting,Finance,Security Consulting Senior Analyst,9,ML,AWS SA,2020-07-01 00:00:00,Northeast,NYC
214,Technology,Design,Cloud Security Senior Analyst,7,Java,AWS SA,2020-07-01 00:00:00,West,Boston
215,Strategy & Consulting,IT Operations,Consulting Development Analyst,8,ML,IBD DSPC,2020-12-01 00:00:00,Midwest,DC
216,Operations,Legal,Cloud Security Analyst,5,Java,CISSP,2020-11-01 00:00:00,West,Boston
217,Strategy & Consulting,Strategy,Consulting Development Senior Analyst,9,Python,IBD DSPC,2020-03-01 00:00:00,West,Denver
218,Strategy & Consulting,Account Leadership,Consulting Development Senior Analyst,6,Oracle,CISSP,2020-12-01 00:00:00,Midwest,DC
219,Interactive,Design,Cloud Security Senior Analyst,8,ML,AWS SA,2020-06-01 00:00:00,South,DC
220,Strategy & Consulting,Account Leadership,Security Consulting Senior Analyst,4,Python,CISSP,2020-08-01 00:00:00,Midwest,Denver
221,Technology,Engineering,Consulting Development Senior Analyst,2,Oracle,IBD DSPC,2020-04-01 00:00:00,West,NYC
222,Strategy & Consulting,Engineering,Cloud Security Analyst,6,Python,CAP,2020-06-01 00:00:00,South,Denver
223,Strategy & Consulting,Security,Security Consulting Senior Analyst,5,Java,CISSP,2020-08-01 00:00:00,Midwest,NYC
224,Operations,Account Leadership,Cloud Security Senior Analyst,2,Java,AWS SA,2020-10-01 00:00:00,South,Boston
225,Strategy & Consulting,Design,Consulting Development Analyst,3,Cloud,IBD DSPC,2020-03-01 00:00:00,Northeast,Denver
226,Operations,IT Operations,Cloud Security Senior Analyst,10,Python,CISSP,2020-03-01 00:00:00,South,Denver
227,Technology,Strategy,Cloud Security Senior Analyst,6,ML,IBD DSPC,2020-02-01 00:00:00,South,NYC
228,Technology,Human Resources,Security Consulting Senior Analyst,3,ML,CISSP,2020-11-01 00:00:00,Northeast,Chicago
229,Strategy & Consulting,Strategy,Consulting Development Senior Analyst,9,Oracle,IBD DSPC,2020-10-01 00:00:00,Midwest,Chicago
230,Interactive,Human Resources,Consulting Development Senior Analyst,4,Java,AWS SA,2020-02-01 00:00:00,West,DC
231,Operations,Human Resources,Security Consulting Analyst,7,Python,CAP,2020-12-01 00:00:00,Midwest,NYC
232,Interactive,Consulting,Security Consulting Senior Analyst,7,Java,CISSP,2020-02-01 00:00:00,South,Denver
233,Technology,Consulting,Consulting Development Senior Analyst,11,ML,AWS SA,2020-01-01 00:00:00,West,DC
234,Technology,Engineering,Cloud Security Analyst,1,ML,AWS SA,2020-07-01 00:00:00,Midwest,Chicago
235,Strategy & Consulting,Consulting,Cloud Security Senior Analyst,7,Python,AWS SA,2020-02-01 00:00:00,Midwest,Chicago
236,Interactive,Strategy,Consulting Development Analyst,1,ML,IBD DSPC,2020-06-01 00:00:00,South,NYC
237,Interactive,Finance,Cloud Security Senior Analyst,3,ML,CISSP,2020-08-01 00:00:00,West,NYC
238,Operations,IT Operations,Cloud Security Analyst,6,Python,AWS SA,2020-10-01 00:00:00,South,Chicago
239,Strategy & Consulting,Finance,Cloud Security Analyst,3,Python,IBD DSPC,2020-04-01 00:00:00,Northeast,Boston
240,Interactive,Security,Consulting Development Senior Analyst,10,ML,CAP,2020-08-01 00:00:00,Northeast,Chicago
241,Technology,Design,Consulting Development Senior Analyst,10,Oracle,AWS SA,2020-12-01 00:00:00,West,Denver
242,Operations,Strategy,Consulting Development Senior Analyst,9,Java,CAP,2020-09-01 00:00:00,West,DC
243,Interactive,Strategy,Consulting Development Analyst,10,Cloud,CISSP,2020-08-01 00:00:00,West,DC
