UID,Start Date,End Date,Client,Project Name,Required Skills,Location,Local Requirement,Level
22,2020-04-01 00:00:00,2020-05-15 00:00:00,B,Engineering Project,PowerPoint/,Denver,No,9-10
23,2020-09-01 00:00:00,2020-09-15 00:00:00,C,Security Project,Excel/Java/Python/,Boston,Yes,10-11
24,2020-12-01 00:00:00,2020-12-15 00:00:00,A,Finance Project,Excel/PowerPoint/,Boston,No,3-4
25,2020-12-01 00:00:00,2020-12-15 00:00:00,F,Engineering Project,Java/Java/Python/,DC,No,5-6
26,2020-04-01 00:00:00,2020-10-15 00:00:00,A,Legal Project,Excel/Bar/,Chicago,Yes,6-7
27,2020-09-01 00:00:00,2020-10-15 00:00:00,G,Finance Project,PowerPoint/QuickBooks/Excel/,Boston,No,4-5
28,2020-04-01 00:00:00,2020-08-15 00:00:00,G,IT Operations Project,Oracle/ML/,Denver,No,4-5
29,2020-07-01 00:00:00,2020-12-15 00:00:00,A,Design Project,React.js/PhotoShop/,Denver,No,1-2
30,2020-05-01 00:00:00,2020-11-15 00:00:00,H,Legal Project,PowerPoint/,Boston,No,10-11
31,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Account Leadership Project,Oral communication/Excel/,Boston,No,9-10
32,2020-01-01 00:00:00,2020-04-15 00:00:00,A,Business Project,PowerPoint/Salesforce/Excel/,Denver,Yes,7-8
33,2020-06-01 00:00:00,2020-10-15 00:00:00,D,Security Project,Python/,NYC,No,10-11
34,2020-05-01 00:00:00,2020-10-15 00:00:00,F,Engineering Project,Java/,Chicago,No,6-7
35,2020-08-01 00:00:00,2020-10-15 00:00:00,G,Design Project,PowerPoint/Excel/,DC,No,1-2
36,2020-12-01 00:00:00,2020-12-15 00:00:00,D,Strategy Project,PowerPoint/Excel/Excel/,DC,Yes,4-5
37,2020-02-01 00:00:00,2020-04-15 00:00:00,F,Engineering Project,Python/Python/,NYC,Yes,3-4
38,2020-09-01 00:00:00,2020-09-15 00:00:00,F,Human Resources Project,PowerPoint/Oral communication/,Chicago,Yes,4-5
39,2020-04-01 00:00:00,2020-11-15 00:00:00,A,Strategy Project,PowerPoint/,DC,Yes,8-9
40,2020-08-01 00:00:00,2020-10-15 00:00:00,G,Human Resources Project,PowerPoint/,Chicago,Yes,5-6
41,2020-12-01 00:00:00,2020-12-15 00:00:00,H,Security Project,Cloud/,Denver,No,6-7
42,2020-11-01 00:00:00,2020-11-15 00:00:00,G,Strategy Project,Critical thinking/,NYC,No,9-10
43,2020-05-01 00:00:00,2020-11-15 00:00:00,E,Human Resources Project,Oral communication/Oral communication/,Boston,No,7-8
44,2020-07-01 00:00:00,2020-08-15 00:00:00,C,Human Resources Project,Excel/,NYC,Yes,1-2
45,2020-10-01 00:00:00,2020-10-15 00:00:00,G,Security Project,Oracle/Java/,Boston,Yes,6-7
46,2020-07-01 00:00:00,2020-10-15 00:00:00,F,Finance Project,QuickBooks/QuickBooks/,DC,No,3-4
47,2020-05-01 00:00:00,2020-10-15 00:00:00,D,Account Leadership Project,Oral communication/,Denver,Yes,8-9
48,2020-11-01 00:00:00,2020-12-15 00:00:00,G,Engineering Project,MATLAB/,DC,No,3-4
49,2020-04-01 00:00:00,2020-10-15 00:00:00,G,Security Project,Excel/Excel/Cloud/,DC,Yes,5-6
50,2020-02-01 00:00:00,2020-07-15 00:00:00,B,Account Leadership Project,Excel/PowerPoint/,NYC,No,8-9
51,2020-09-01 00:00:00,2020-09-15 00:00:00,F,Account Leadership Project,Oral communication/,DC,No,10-11
52,2020-06-01 00:00:00,2020-07-15 00:00:00,E,Security Project,Python/,Denver,No,5-6
53,2020-06-01 00:00:00,2020-09-15 00:00:00,A,Strategy Project,Excel/Excel/,Denver,Yes,6-7
54,2020-08-01 00:00:00,2020-10-15 00:00:00,F,Design Project,React.js/,DC,No,8-9
55,2020-08-01 00:00:00,2020-08-15 00:00:00,E,Business Project,PowerPoint/PowerPoint/,DC,No,9-10
56,2020-01-01 00:00:00,2020-08-15 00:00:00,C,Legal Project,Bar/,Denver,No,9-10
57,2020-12-01 00:00:00,2020-12-15 00:00:00,B,Account Leadership Project,ML/,Denver,No,7-8
58,2020-07-01 00:00:00,2020-07-15 00:00:00,C,Engineering Project,Python/Java/Python/,NYC,No,9-10
59,2020-12-01 00:00:00,2020-12-15 00:00:00,G,Account Leadership Project,Cloud/Oral communication/ML/,Chicago,Yes,2-3
60,2020-02-01 00:00:00,2020-06-15 00:00:00,H,Security Project,PowerPoint/,Chicago,Yes,5-6
61,2020-06-01 00:00:00,2020-12-15 00:00:00,D,Strategy Project,Excel/Critical thinking/PowerPoint/,NYC,No,4-5
62,2020-04-01 00:00:00,2020-09-15 00:00:00,H,Finance Project,QuickBooks/PowerPoint/Excel/,NYC,No,10-11
63,2020-12-01 00:00:00,2020-12-15 00:00:00,H,IT Operations Project,ML/Oracle/Python/,Chicago,Yes,4-5
64,2020-11-01 00:00:00,2020-11-15 00:00:00,G,Engineering Project,MATLAB/PowerPoint/Python/,Chicago,No,8-9
65,2020-10-01 00:00:00,2020-10-15 00:00:00,D,Legal Project,Excel/,Chicago,Yes,7-8
66,2020-09-01 00:00:00,2020-10-15 00:00:00,C,Legal Project,Bar/,Boston,No,8-9
67,2020-11-01 00:00:00,2020-11-15 00:00:00,D,Engineering Project,Java/,Boston,No,2-3
68,2020-03-01 00:00:00,2020-09-15 00:00:00,A,Finance Project,Excel/QuickBooks/PowerPoint/,Chicago,Yes,4-5
69,2020-08-01 00:00:00,2020-12-15 00:00:00,G,Business Project,Excel/,Chicago,No,8-9
70,2020-10-01 00:00:00,2020-12-15 00:00:00,G,Account Leadership Project,Oral communication/,Chicago,No,1-2
71,2020-07-01 00:00:00,2020-12-15 00:00:00,A,Engineering Project,PowerPoint/MATLAB/Excel/,Boston,Yes,7-8
72,2020-12-01 00:00:00,2020-12-15 00:00:00,G,Legal Project,Bar/Oral communication/,Boston,Yes,7-8
73,2020-02-01 00:00:00,2020-05-15 00:00:00,G,Design Project,Adobe/,Denver,Yes,5-6
74,2020-08-01 00:00:00,2020-12-15 00:00:00,C,IT Operations Project,Java/,Chicago,Yes,6-7
75,2020-12-01 00:00:00,2020-12-15 00:00:00,E,IT Operations Project,PowerPoint/,Chicago,No,2-3
76,2020-12-01 00:00:00,2020-12-15 00:00:00,A,Design Project,PowerPoint/,Boston,No,7-8
77,2020-06-01 00:00:00,2020-08-15 00:00:00,A,Strategy Project,PowerPoint/Excel/Excel/,Denver,No,3-4
78,2020-06-01 00:00:00,2020-08-15 00:00:00,G,Human Resources Project,Excel/Oral communication/PowerPoint/,DC,Yes,4-5
79,2020-01-01 00:00:00,2020-02-15 00:00:00,H,Strategy Project,PowerPoint/,DC,Yes,2-3
80,2020-06-01 00:00:00,2020-12-15 00:00:00,H,Finance Project,PowerPoint/PowerPoint/Excel/,Chicago,Yes,9-10
81,2020-09-01 00:00:00,2020-09-15 00:00:00,B,Business Project,Salesforce/Excel/,Chicago,No,1-2
82,2020-10-01 00:00:00,2020-11-15 00:00:00,E,IT Operations Project,PowerPoint/,DC,No,8-9
83,2020-09-01 00:00:00,2020-11-15 00:00:00,D,Strategy Project,Excel/PowerPoint/,NYC,No,6-7
84,2020-05-01 00:00:00,2020-05-15 00:00:00,F,IT Operations Project,Oracle/ML/ML/,Denver,Yes,9-10
85,2020-08-01 00:00:00,2020-08-15 00:00:00,H,IT Operations Project,Cloud/Cloud/,DC,Yes,7-8
86,2020-08-01 00:00:00,2020-09-15 00:00:00,G,Account Leadership Project,Excel/Excel/,Denver,No,3-4
87,2020-01-01 00:00:00,2020-01-15 00:00:00,H,Security Project,PowerPoint/PowerPoint/,Chicago,No,4-5
88,2020-01-01 00:00:00,2020-06-15 00:00:00,H,Strategy Project,Excel/Excel/PowerPoint/,Boston,No,3-4
89,2020-09-01 00:00:00,2020-11-15 00:00:00,A,IT Operations Project,Cloud/,Chicago,Yes,6-7
90,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Design Project,Excel/,Boston,Yes,4-5
91,2020-05-01 00:00:00,2020-11-15 00:00:00,A,Design Project,PowerPoint/,Chicago,Yes,5-6
92,2020-09-01 00:00:00,2020-11-15 00:00:00,G,Design Project,Adobe/,Chicago,Yes,4-5
93,2020-03-01 00:00:00,2020-07-15 00:00:00,C,Security Project,Oracle/PowerPoint/Excel/,Denver,No,7-8
94,2020-03-01 00:00:00,2020-08-15 00:00:00,H,Finance Project,QuickBooks/QuickBooks/,DC,Yes,5-6
95,2020-03-01 00:00:00,2020-07-15 00:00:00,B,Security Project,Cloud/ML/,NYC,Yes,9-10
96,2020-06-01 00:00:00,2020-11-15 00:00:00,B,Finance Project,SAP/SAP/,DC,No,2-3
97,2020-03-01 00:00:00,2020-04-15 00:00:00,G,Security Project,ML/Oracle/,Boston,No,1-2
98,2020-08-01 00:00:00,2020-10-15 00:00:00,F,Business Project,Excel/,Denver,No,4-5
99,2020-01-01 00:00:00,2020-04-15 00:00:00,H,Human Resources Project,PowerPoint/,Denver,No,3-4
100,2020-01-01 00:00:00,2020-02-15 00:00:00,F,Security Project,Python/,DC,No,8-9
101,2020-05-01 00:00:00,2020-06-15 00:00:00,H,Finance Project,QuickBooks/Excel/Excel/,Boston,No,4-5
102,2020-04-01 00:00:00,2020-05-15 00:00:00,A,Account Leadership Project,Excel/,NYC,No,10-11
103,2020-04-01 00:00:00,2020-10-15 00:00:00,G,Account Leadership Project,Cloud/PowerPoint/,Chicago,No,2-3
104,2020-03-01 00:00:00,2020-12-15 00:00:00,B,Engineering Project,Python/Python/MATLAB/,Denver,Yes,8-9
105,2020-05-01 00:00:00,2020-07-15 00:00:00,C,Business Project,Excel/Excel/,NYC,No,3-4
106,2020-11-01 00:00:00,2020-11-15 00:00:00,C,Finance Project,QuickBooks/QuickBooks/,Denver,Yes,4-5
107,2020-04-01 00:00:00,2020-08-15 00:00:00,C,Business Project,PowerPoint/Excel/,DC,No,5-6
108,2020-02-01 00:00:00,2020-10-15 00:00:00,B,Account Leadership Project,PowerPoint/ML/,DC,Yes,10-11
109,2020-02-01 00:00:00,2020-04-15 00:00:00,B,Human Resources Project,Excel/PowerPoint/Oral communication/,NYC,No,3-4
110,2020-02-01 00:00:00,2020-10-15 00:00:00,D,Finance Project,Excel/,NYC,No,3-4
111,2020-02-01 00:00:00,2020-06-15 00:00:00,A,Design Project,React.js/Adobe/PhotoShop/,Boston,Yes,2-3
112,2020-11-01 00:00:00,2020-11-15 00:00:00,E,Engineering Project,Java/Java/MATLAB/,Denver,Yes,6-7
113,2020-03-01 00:00:00,2020-08-15 00:00:00,C,Finance Project,Excel/SAP/QuickBooks/,Chicago,Yes,9-10
114,2020-01-01 00:00:00,2020-08-15 00:00:00,B,Legal Project,PowerPoint/PowerPoint/,Boston,Yes,6-7
115,2020-09-01 00:00:00,2020-09-15 00:00:00,C,Engineering Project,Python/,DC,Yes,7-8
116,2020-10-01 00:00:00,2020-10-15 00:00:00,E,Legal Project,Oral communication/PowerPoint/Oral communication/,Boston,No,4-5
117,2020-07-01 00:00:00,2020-07-15 00:00:00,G,Account Leadership Project,Cloud/Excel/ML/,Chicago,No,7-8
118,2020-10-01 00:00:00,2020-10-15 00:00:00,B,IT Operations Project,Excel/Excel/,DC,Yes,1-2
119,2020-11-01 00:00:00,2020-11-15 00:00:00,A,Design Project,Excel/React.js/PhotoShop/,NYC,Yes,2-3
120,2020-09-01 00:00:00,2020-12-15 00:00:00,F,Finance Project,QuickBooks/,NYC,No,1-2
121,2020-03-01 00:00:00,2020-12-15 00:00:00,D,Strategy Project,PowerPoint/PowerPoint/Excel/,Boston,Yes,1-2
122,2020-05-01 00:00:00,2020-08-15 00:00:00,F,Business Project,Excel/Salesforce/,NYC,Yes,9-10
123,2020-01-01 00:00:00,2020-05-15 00:00:00,B,Finance Project,Excel/PowerPoint/,Boston,No,7-8
124,2020-12-01 00:00:00,2020-12-15 00:00:00,C,IT Operations Project,Java/,DC,Yes,5-6
125,2020-07-01 00:00:00,2020-08-15 00:00:00,E,Business Project,Excel/PowerPoint/Excel/,Denver,Yes,7-8
126,2020-11-01 00:00:00,2020-11-15 00:00:00,C,Business Project,Salesforce/PowerPoint/,Chicago,No,4-5
127,2020-07-01 00:00:00,2020-10-15 00:00:00,F,Human Resources Project,Excel/PowerPoint/PowerPoint/,Denver,Yes,1-2
128,2020-02-01 00:00:00,2020-08-15 00:00:00,G,IT Operations Project,ML/Excel/,NYC,Yes,2-3
129,2020-08-01 00:00:00,2020-12-15 00:00:00,C,Security Project,Oracle/,NYC,No,9-10
130,2020-05-01 00:00:00,2020-10-15 00:00:00,B,Strategy Project,Excel/Excel/PowerPoint/,DC,Yes,6-7
131,2020-03-01 00:00:00,2020-10-15 00:00:00,D,Business Project,Excel/,Chicago,Yes,8-9
132,2020-08-01 00:00:00,2020-08-15 00:00:00,A,Security Project,ML/PowerPoint/PowerPoint/,Denver,No,3-4
133,2020-02-01 00:00:00,2020-10-15 00:00:00,E,Account Leadership Project,PowerPoint/PowerPoint/,NYC,Yes,8-9
134,2020-10-01 00:00:00,2020-12-15 00:00:00,E,Finance Project,Excel/QuickBooks/,Denver,No,8-9
135,2020-07-01 00:00:00,2020-07-15 00:00:00,B,Account Leadership Project,Oral communication/,Chicago,Yes,3-4
136,2020-09-01 00:00:00,2020-11-15 00:00:00,E,Finance Project,PowerPoint/QuickBooks/,Denver,Yes,10-11
137,2020-10-01 00:00:00,2020-10-15 00:00:00,A,Engineering Project,Python/,NYC,No,2-3
138,2020-08-01 00:00:00,2020-08-15 00:00:00,E,Account Leadership Project,Oral communication/PowerPoint/,NYC,No,5-6
139,2020-07-01 00:00:00,2020-11-15 00:00:00,C,Strategy Project,Excel/Excel/Excel/,NYC,No,4-5
140,2020-12-01 00:00:00,2020-12-15 00:00:00,A,Security Project,Oracle/PowerPoint/PowerPoint/,DC,Yes,5-6
141,2020-12-01 00:00:00,2020-12-15 00:00:00,B,IT Operations Project,Excel/Oracle/,Chicago,No,4-5
142,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Legal Project,Bar/,DC,No,3-4
143,2020-02-01 00:00:00,2020-12-15 00:00:00,G,Business Project,Salesforce/Excel/,DC,No,3-4
144,2020-12-01 00:00:00,2020-12-15 00:00:00,G,Legal Project,Oral communication/PowerPoint/Bar/,Denver,No,9-10
145,2020-05-01 00:00:00,2020-09-15 00:00:00,D,Engineering Project,Excel/Python/,Denver,Yes,10-11
146,2020-06-01 00:00:00,2020-12-15 00:00:00,D,Human Resources Project,PowerPoint/Workday/Excel/,Chicago,No,3-4
147,2020-03-01 00:00:00,2020-08-15 00:00:00,A,Security Project,Python/ML/,NYC,Yes,10-11
148,2020-07-01 00:00:00,2020-07-15 00:00:00,G,Finance Project,Excel/,DC,No,6-7
149,2020-06-01 00:00:00,2020-11-15 00:00:00,A,Strategy Project,PowerPoint/Excel/Critical thinking/,Chicago,Yes,8-9
150,2020-04-01 00:00:00,2020-04-15 00:00:00,H,IT Operations Project,Cloud/Cloud/ML/,DC,Yes,5-6
151,2020-02-01 00:00:00,2020-03-15 00:00:00,A,Account Leadership Project,PowerPoint/Oral communication/,DC,Yes,10-11
152,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Business Project,Salesforce/,Chicago,No,2-3
153,2020-01-01 00:00:00,2020-07-15 00:00:00,G,Strategy Project,Excel/Critical thinking/,DC,Yes,1-2
154,2020-06-01 00:00:00,2020-08-15 00:00:00,G,Finance Project,PowerPoint/Excel/,Denver,No,4-5
155,2020-01-01 00:00:00,2020-04-15 00:00:00,F,Strategy Project,PowerPoint/PowerPoint/,Boston,Yes,9-10
156,2020-04-01 00:00:00,2020-09-15 00:00:00,H,Finance Project,SAP/PowerPoint/QuickBooks/,NYC,No,7-8
157,2020-08-01 00:00:00,2020-11-15 00:00:00,G,IT Operations Project,ML/,Chicago,Yes,8-9
158,2020-11-01 00:00:00,2020-12-15 00:00:00,F,Human Resources Project,PowerPoint/Excel/Excel/,DC,No,4-5
159,2020-11-01 00:00:00,2020-11-15 00:00:00,D,Account Leadership Project,PowerPoint/,Denver,Yes,1-2
160,2020-09-01 00:00:00,2020-09-15 00:00:00,A,Human Resources Project,PowerPoint/,Denver,Yes,4-5
161,2020-05-01 00:00:00,2020-06-15 00:00:00,H,Engineering Project,Java/PowerPoint/Java/,DC,Yes,8-9
162,2020-01-01 00:00:00,2020-12-15 00:00:00,H,Business Project,Salesforce/PowerPoint/PowerPoint/,Boston,Yes,8-9
163,2020-11-01 00:00:00,2020-12-15 00:00:00,E,Account Leadership Project,PowerPoint/Excel/,Boston,Yes,3-4
164,2020-06-01 00:00:00,2020-06-15 00:00:00,D,Strategy Project,Excel/Critical thinking/Critical thinking/,NYC,Yes,1-2
165,2020-11-01 00:00:00,2020-12-15 00:00:00,C,Security Project,Java/,Denver,Yes,1-2
166,2020-04-01 00:00:00,2020-05-15 00:00:00,H,Legal Project,Excel/,DC,No,2-3
167,2020-02-01 00:00:00,2020-03-15 00:00:00,E,Human Resources Project,Workday/Oral communication/,NYC,No,7-8
168,2020-11-01 00:00:00,2020-12-15 00:00:00,D,Legal Project,Bar/Excel/PowerPoint/,DC,Yes,8-9
169,2020-12-01 00:00:00,2020-12-15 00:00:00,B,Engineering Project,Excel/Python/,DC,Yes,2-3
170,2020-10-01 00:00:00,2020-11-15 00:00:00,A,Design Project,React.js/React.js/,Chicago,Yes,7-8
171,2020-12-01 00:00:00,2020-12-15 00:00:00,G,IT Operations Project,Python/PowerPoint/,Boston,No,5-6
172,2020-05-01 00:00:00,2020-06-15 00:00:00,C,Engineering Project,Java/Python/PowerPoint/,DC,No,4-5
173,2020-09-01 00:00:00,2020-12-15 00:00:00,C,Business Project,Excel/PowerPoint/Excel/,NYC,Yes,3-4
174,2020-05-01 00:00:00,2020-12-15 00:00:00,C,IT Operations Project,Python/,Denver,Yes,2-3
175,2020-10-01 00:00:00,2020-10-15 00:00:00,A,Legal Project,Bar/Bar/Excel/,DC,No,3-4
176,2020-07-01 00:00:00,2020-12-15 00:00:00,C,Legal Project,Excel/Bar/PowerPoint/,Chicago,Yes,9-10
177,2020-06-01 00:00:00,2020-09-15 00:00:00,F,Design Project,Excel/PowerPoint/,NYC,Yes,4-5
178,2020-11-01 00:00:00,2020-11-15 00:00:00,B,Human Resources Project,Oral communication/Excel/,Boston,No,4-5
179,2020-07-01 00:00:00,2020-09-15 00:00:00,E,Strategy Project,Critical thinking/,Chicago,Yes,1-2
180,2020-09-01 00:00:00,2020-09-15 00:00:00,B,Finance Project,SAP/QuickBooks/SAP/,Boston,No,5-6
181,2020-04-01 00:00:00,2020-11-15 00:00:00,B,IT Operations Project,ML/,Chicago,No,2-3
182,2020-03-01 00:00:00,2020-11-15 00:00:00,F,Human Resources Project,Oral communication/Oral communication/,Chicago,No,6-7
183,2020-08-01 00:00:00,2020-12-15 00:00:00,A,Finance Project,Excel/,NYC,Yes,8-9
184,2020-09-01 00:00:00,2020-09-15 00:00:00,D,Legal Project,PowerPoint/Bar/Bar/,DC,Yes,5-6
185,2020-07-01 00:00:00,2020-12-15 00:00:00,G,Security Project,ML/Cloud/,Chicago,Yes,1-2
186,2020-09-01 00:00:00,2020-10-15 00:00:00,B,IT Operations Project,PowerPoint/,Boston,Yes,3-4
187,2020-11-01 00:00:00,2020-12-15 00:00:00,D,Account Leadership Project,PowerPoint/,Denver,No,1-2
188,2020-12-01 00:00:00,2020-12-15 00:00:00,A,Strategy Project,Critical thinking/,NYC,No,9-10
189,2020-05-01 00:00:00,2020-09-15 00:00:00,H,IT Operations Project,PowerPoint/Excel/ML/,Denver,No,5-6
190,2020-02-01 00:00:00,2020-03-15 00:00:00,A,Engineering Project,PowerPoint/,NYC,No,5-6
191,2020-01-01 00:00:00,2020-12-15 00:00:00,A,IT Operations Project,Oracle/PowerPoint/,DC,Yes,9-10
192,2020-04-01 00:00:00,2020-12-15 00:00:00,H,Human Resources Project,Workday/Oral communication/Oral communication/,DC,Yes,9-10
193,2020-12-01 00:00:00,2020-12-15 00:00:00,A,Legal Project,Excel/,Boston,No,4-5
194,2020-01-01 00:00:00,2020-08-15 00:00:00,G,IT Operations Project,PowerPoint/PowerPoint/Excel/,NYC,Yes,7-8
195,2020-02-01 00:00:00,2020-07-15 00:00:00,G,Human Resources Project,Oral communication/,Chicago,No,8-9
196,2020-12-01 00:00:00,2020-12-15 00:00:00,A,Human Resources Project,Excel/Excel/,NYC,Yes,9-10
197,2020-11-01 00:00:00,2020-11-15 00:00:00,G,Human Resources Project,Workday/Workday/PowerPoint/,Denver,No,3-4
198,2020-06-01 00:00:00,2020-08-15 00:00:00,D,Human Resources Project,Excel/,DC,Yes,2-3
199,2020-11-01 00:00:00,2020-12-15 00:00:00,C,Human Resources Project,Oral communication/,Chicago,Yes,7-8
200,2020-07-01 00:00:00,2020-10-15 00:00:00,F,Business Project,Salesforce/Excel/Salesforce/,Chicago,No,1-2
201,2020-09-01 00:00:00,2020-11-15 00:00:00,D,Engineering Project,PowerPoint/,Boston,Yes,1-2
202,2020-01-01 00:00:00,2020-05-15 00:00:00,A,Design Project,PowerPoint/Adobe/Adobe/,NYC,No,8-9
203,2020-03-01 00:00:00,2020-08-15 00:00:00,D,Human Resources Project,Workday/Workday/,Chicago,Yes,9-10
204,2020-01-01 00:00:00,2020-11-15 00:00:00,G,IT Operations Project,Oracle/,Boston,No,1-2
205,2020-03-01 00:00:00,2020-08-15 00:00:00,F,Strategy Project,Critical thinking/,NYC,No,5-6
206,2020-02-01 00:00:00,2020-09-15 00:00:00,E,Human Resources Project,PowerPoint/Oral communication/Excel/,Denver,Yes,6-7
207,2020-11-01 00:00:00,2020-12-15 00:00:00,G,Security Project,Excel/Python/Excel/,Boston,Yes,5-6
208,2020-08-01 00:00:00,2020-11-15 00:00:00,C,Business Project,PowerPoint/,DC,Yes,7-8
209,2020-06-01 00:00:00,2020-06-15 00:00:00,A,Account Leadership Project,Excel/,Chicago,No,5-6
210,2020-10-01 00:00:00,2020-11-15 00:00:00,C,IT Operations Project,Java/PowerPoint/,Chicago,No,3-4
211,2020-10-01 00:00:00,2020-10-15 00:00:00,H,Security Project,Oracle/,Chicago,No,9-10
212,2020-05-01 00:00:00,2020-10-15 00:00:00,A,Human Resources Project,Excel/,Chicago,Yes,6-7
213,2020-05-01 00:00:00,2020-06-15 00:00:00,C,Business Project,Salesforce/PowerPoint/Salesforce/,DC,Yes,10-11
214,2020-11-01 00:00:00,2020-12-15 00:00:00,F,Account Leadership Project,ML/,Chicago,Yes,2-3
215,2020-12-01 00:00:00,2020-12-15 00:00:00,D,Business Project,Excel/,NYC,No,3-4
216,2020-06-01 00:00:00,2020-10-15 00:00:00,G,IT Operations Project,PowerPoint/Oracle/Cloud/,NYC,Yes,5-6
217,2020-01-01 00:00:00,2020-08-15 00:00:00,E,Design Project,Adobe/React.js/Adobe/,Denver,No,9-10
218,2020-08-01 00:00:00,2020-08-15 00:00:00,E,Business Project,Salesforce/Excel/Salesforce/,NYC,Yes,6-7
219,2020-11-01 00:00:00,2020-11-15 00:00:00,G,Security Project,PowerPoint/Cloud/Java/,Denver,Yes,2-3
220,2020-06-01 00:00:00,2020-06-15 00:00:00,C,Security Project,Oracle/,Chicago,Yes,8-9
221,2020-05-01 00:00:00,2020-07-15 00:00:00,B,IT Operations Project,Oracle/PowerPoint/Java/,Denver,Yes,6-7
222,2020-07-01 00:00:00,2020-11-15 00:00:00,D,Security Project,Java/ML/,Chicago,Yes,9-10
223,2020-11-01 00:00:00,2020-12-15 00:00:00,E,IT Operations Project,Cloud/ML/Python/,Denver,No,4-5
224,2020-10-01 00:00:00,2020-12-15 00:00:00,H,IT Operations Project,Cloud/Python/Oracle/,Boston,Yes,7-8
225,2020-07-01 00:00:00,2020-07-15 00:00:00,E,IT Operations Project,Python/Cloud/Cloud/,Boston,Yes,3-4
226,2020-11-01 00:00:00,2020-11-15 00:00:00,B,Business Project,Excel/Excel/PowerPoint/,DC,No,2-3
227,2020-04-01 00:00:00,2020-12-15 00:00:00,E,Finance Project,Excel/SAP/,Boston,No,5-6
228,2020-01-01 00:00:00,2020-04-15 00:00:00,E,Legal Project,Oral communication/Oral communication/PowerPoint/,DC,No,3-4
229,2020-12-01 00:00:00,2020-12-15 00:00:00,D,Finance Project,SAP/PowerPoint/PowerPoint/,Boston,Yes,5-6
230,2020-09-01 00:00:00,2020-10-15 00:00:00,B,Business Project,Excel/PowerPoint/,Chicago,Yes,8-9
231,2020-10-01 00:00:00,2020-10-15 00:00:00,D,IT Operations Project,Excel/Oracle/,Denver,Yes,5-6
232,2020-01-01 00:00:00,2020-10-15 00:00:00,B,Account Leadership Project,Leadership/Oral communication/Leadership/,Boston,Yes,7-8
233,2020-02-01 00:00:00,2020-07-15 00:00:00,F,Engineering Project,PowerPoint/Python/Python/,Chicago,Yes,6-7
234,2020-03-01 00:00:00,2020-12-15 00:00:00,D,Engineering Project,PowerPoint/MATLAB/Python/,DC,Yes,8-9
235,2020-11-01 00:00:00,2020-12-15 00:00:00,C,Design Project,Adobe/,DC,No,1-2
