Project UID,Start Date,End Date,Client,Project Name,Required Skills,Location,Local Requirement,Level,Service
29,2020-04-01 00:00:00,2020-10-15 00:00:00,H,Legal Project,Excel/,Boston,Yes,5-6,Operations
30,2020-11-01 00:00:00,2020-12-15 00:00:00,A,Finance Project,PowerPoint/SAP/SAP/,NYC,Yes,10-11,Operations
31,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Engineering Project,PowerPoint/Excel/PowerPoint/,DC,No,3-4,Interactive
32,2020-12-01 00:00:00,2020-12-15 00:00:00,G,Business Project,PowerPoint/PowerPoint/,Denver,No,1-2,Operations
33,2020-03-01 00:00:00,2020-06-15 00:00:00,D,Finance Project,PowerPoint/,Chicago,Yes,3-4,Technology
34,2020-10-01 00:00:00,2020-10-15 00:00:00,B,Legal Project,Excel/Bar/Bar/,Denver,Yes,5-6,Strategy & Consulting
35,2020-11-01 00:00:00,2020-11-15 00:00:00,H,Design Project,Adobe/Adobe/React.js/,NYC,Yes,2-3,Technology
36,2020-07-01 00:00:00,2020-07-15 00:00:00,E,Design Project,Excel/Adobe/React.js/,DC,No,8-9,Operations
37,2020-01-01 00:00:00,2020-11-15 00:00:00,E,Engineering Project,Java/PowerPoint/Python/,DC,No,7-8,Interactive
38,2020-09-01 00:00:00,2020-11-15 00:00:00,E,Engineering Project,Excel/,Chicago,No,4-5,Operations
39,2020-09-01 00:00:00,2020-09-15 00:00:00,C,IT Operations Project,PowerPoint/Java/,NYC,Yes,3-4,Strategy & Consulting
40,2020-05-01 00:00:00,2020-07-15 00:00:00,B,Finance Project,QuickBooks/Excel/SAP/,DC,Yes,3-4,Strategy & Consulting
41,2020-05-01 00:00:00,2020-09-15 00:00:00,E,Account Leadership Project,PowerPoint/,Denver,No,5-6,Interactive
42,2020-12-01 00:00:00,2020-12-15 00:00:00,H,Design Project,React.js/Excel/Adobe/,Boston,Yes,7-8,Strategy & Consulting
43,2020-12-01 00:00:00,2020-12-15 00:00:00,D,Account Leadership Project,Cloud/ML/,Chicago,Yes,9-10,Technology
44,2020-05-01 00:00:00,2020-12-15 00:00:00,G,Legal Project,Oral communication/Oral communication/,DC,Yes,5-6,Technology
45,2020-09-01 00:00:00,2020-11-15 00:00:00,C,Design Project,React.js/,Chicago,Yes,5-6,Technology
46,2020-08-01 00:00:00,2020-12-15 00:00:00,G,Legal Project,Oral communication/Oral communication/PowerPoint/,Denver,No,8-9,Operations
47,2020-04-01 00:00:00,2020-04-15 00:00:00,F,Strategy Project,PowerPoint/,Boston,Yes,2-3,Operations
48,2020-08-01 00:00:00,2020-11-15 00:00:00,F,Human Resources Project,PowerPoint/Workday/Workday/,Denver,No,1-2,Operations
49,2020-03-01 00:00:00,2020-11-15 00:00:00,G,Security Project,Cloud/ML/,Chicago,Yes,5-6,Interactive
50,2020-08-01 00:00:00,2020-09-15 00:00:00,B,Finance Project,Excel/PowerPoint/,DC,Yes,10-11,Operations
51,2020-02-01 00:00:00,2020-05-15 00:00:00,D,IT Operations Project,Java/,Chicago,No,9-10,Interactive
52,2020-03-01 00:00:00,2020-05-15 00:00:00,G,Account Leadership Project,Cloud/Cloud/,Chicago,No,6-7,Operations
53,2020-03-01 00:00:00,2020-09-15 00:00:00,A,Business Project,PowerPoint/,Chicago,Yes,10-11,Interactive
54,2020-11-01 00:00:00,2020-11-15 00:00:00,B,Human Resources Project,Excel/,Chicago,No,4-5,Interactive
55,2020-11-01 00:00:00,2020-12-15 00:00:00,C,Security Project,Python/,Denver,Yes,7-8,Strategy & Consulting
56,2020-04-01 00:00:00,2020-12-15 00:00:00,E,Business Project,Excel/PowerPoint/Salesforce/,DC,Yes,9-10,Strategy & Consulting
57,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Security Project,Excel/,Denver,Yes,1-2,Interactive
58,2020-12-01 00:00:00,2020-12-15 00:00:00,C,IT Operations Project,ML/,NYC,No,3-4,Strategy & Consulting
59,2020-03-01 00:00:00,2020-11-15 00:00:00,C,Legal Project,Oral communication/PowerPoint/Bar/,Chicago,No,7-8,Technology
60,2020-11-01 00:00:00,2020-11-15 00:00:00,A,Security Project,Python/Cloud/,NYC,Yes,6-7,Strategy & Consulting
61,2020-04-01 00:00:00,2020-06-15 00:00:00,A,IT Operations Project,Python/Oracle/Excel/,NYC,Yes,7-8,Operations
62,2020-01-01 00:00:00,2020-04-15 00:00:00,G,Design Project,PowerPoint/PhotoShop/,Denver,No,1-2,Technology
63,2020-09-01 00:00:00,2020-09-15 00:00:00,E,Engineering Project,Excel/Python/MATLAB/,DC,Yes,6-7,Operations
64,2020-04-01 00:00:00,2020-09-15 00:00:00,G,Security Project,Excel/,NYC,Yes,2-3,Strategy & Consulting
65,2020-02-01 00:00:00,2020-08-15 00:00:00,F,Engineering Project,Python/,Denver,Yes,3-4,Strategy & Consulting
66,2020-03-01 00:00:00,2020-03-15 00:00:00,A,Human Resources Project,Oral communication/Oral communication/,Boston,No,6-7,Operations
67,2020-10-01 00:00:00,2020-10-15 00:00:00,G,Human Resources Project,PowerPoint/Oral communication/Workday/,Boston,No,5-6,Technology
68,2020-08-01 00:00:00,2020-11-15 00:00:00,G,Strategy Project,Critical thinking/Critical thinking/PowerPoint/,Boston,No,4-5,Technology
69,2020-09-01 00:00:00,2020-12-15 00:00:00,C,Account Leadership Project,Cloud/PowerPoint/Leadership/,Boston,No,9-10,Interactive
70,2020-09-01 00:00:00,2020-09-15 00:00:00,C,Finance Project,PowerPoint/SAP/PowerPoint/,Denver,Yes,9-10,Strategy & Consulting
71,2020-04-01 00:00:00,2020-09-15 00:00:00,C,Strategy Project,Critical thinking/Critical thinking/,NYC,No,3-4,Operations
72,2020-05-01 00:00:00,2020-12-15 00:00:00,C,Design Project,React.js/,Denver,No,6-7,Technology
73,2020-09-01 00:00:00,2020-09-15 00:00:00,B,IT Operations Project,Python/Cloud/Excel/,Denver,No,2-3,Interactive
74,2020-04-01 00:00:00,2020-11-15 00:00:00,D,IT Operations Project,Java/Cloud/Oracle/,Denver,Yes,9-10,Operations
75,2020-01-01 00:00:00,2020-11-15 00:00:00,E,Engineering Project,Python/MATLAB/Excel/,DC,Yes,4-5,Technology
76,2020-08-01 00:00:00,2020-10-15 00:00:00,A,Design Project,React.js/,Chicago,Yes,9-10,Operations
77,2020-03-01 00:00:00,2020-04-15 00:00:00,F,Security Project,Cloud/ML/ML/,Boston,No,4-5,Interactive
78,2020-11-01 00:00:00,2020-11-15 00:00:00,B,Business Project,PowerPoint/,Chicago,No,9-10,Technology
79,2020-07-01 00:00:00,2020-07-15 00:00:00,A,Human Resources Project,Workday/,Boston,Yes,2-3,Operations
80,2020-12-01 00:00:00,2020-12-15 00:00:00,G,Strategy Project,Critical thinking/Critical thinking/Excel/,Chicago,Yes,6-7,Interactive
81,2020-12-01 00:00:00,2020-12-15 00:00:00,A,Design Project,PhotoShop/React.js/React.js/,Chicago,Yes,8-9,Technology
82,2020-06-01 00:00:00,2020-10-15 00:00:00,H,Human Resources Project,Excel/,Boston,No,3-4,Interactive
83,2020-09-01 00:00:00,2020-09-15 00:00:00,F,Account Leadership Project,PowerPoint/ML/ML/,Denver,No,1-2,Operations
84,2020-01-01 00:00:00,2020-04-15 00:00:00,G,Security Project,PowerPoint/Java/PowerPoint/,DC,No,10-11,Interactive
85,2020-02-01 00:00:00,2020-09-15 00:00:00,C,Strategy Project,PowerPoint/Excel/,Boston,No,3-4,Technology
86,2020-06-01 00:00:00,2020-10-15 00:00:00,A,Design Project,Excel/,Boston,Yes,6-7,Interactive
87,2020-09-01 00:00:00,2020-12-15 00:00:00,E,Finance Project,SAP/QuickBooks/QuickBooks/,Chicago,No,10-11,Interactive
88,2020-12-01 00:00:00,2020-12-15 00:00:00,E,Business Project,Excel/PowerPoint/,NYC,No,1-2,Operations
89,2020-11-01 00:00:00,2020-11-15 00:00:00,G,IT Operations Project,ML/Java/,NYC,Yes,1-2,Strategy & Consulting
90,2020-07-01 00:00:00,2020-08-15 00:00:00,H,Security Project,ML/,Chicago,Yes,8-9,Technology
91,2020-04-01 00:00:00,2020-09-15 00:00:00,A,Account Leadership Project,Excel/,Chicago,Yes,2-3,Technology
92,2020-09-01 00:00:00,2020-10-15 00:00:00,B,Security Project,Python/,Chicago,No,5-6,Technology
93,2020-04-01 00:00:00,2020-12-15 00:00:00,D,IT Operations Project,PowerPoint/,NYC,No,7-8,Operations
94,2020-03-01 00:00:00,2020-10-15 00:00:00,C,Account Leadership Project,Leadership/,NYC,No,9-10,Technology
95,2020-01-01 00:00:00,2020-05-15 00:00:00,C,Business Project,Salesforce/,Boston,Yes,1-2,Strategy & Consulting
96,2020-02-01 00:00:00,2020-12-15 00:00:00,E,Account Leadership Project,Oral communication/Cloud/,Chicago,Yes,4-5,Operations
97,2020-12-01 00:00:00,2020-12-15 00:00:00,H,Human Resources Project,PowerPoint/Excel/Workday/,Chicago,No,7-8,Operations
98,2020-11-01 00:00:00,2020-11-15 00:00:00,A,Account Leadership Project,Cloud/Oral communication/ML/,NYC,No,6-7,Strategy & Consulting
99,2020-09-01 00:00:00,2020-12-15 00:00:00,B,Engineering Project,Excel/,NYC,No,2-3,Technology
100,2020-11-01 00:00:00,2020-11-15 00:00:00,F,Security Project,Java/Oracle/,Chicago,Yes,3-4,Interactive
101,2020-01-01 00:00:00,2020-11-15 00:00:00,D,Legal Project,Oral communication/PowerPoint/,Chicago,No,6-7,Operations
102,2020-05-01 00:00:00,2020-07-15 00:00:00,C,Finance Project,Excel/SAP/,Boston,Yes,1-2,Technology
103,2020-01-01 00:00:00,2020-08-15 00:00:00,G,Account Leadership Project,PowerPoint/,NYC,Yes,4-5,Operations
104,2020-06-01 00:00:00,2020-07-15 00:00:00,F,Engineering Project,MATLAB/,Chicago,Yes,3-4,Interactive
105,2020-10-01 00:00:00,2020-11-15 00:00:00,C,Account Leadership Project,Oral communication/Leadership/,DC,Yes,10-11,Technology
106,2020-07-01 00:00:00,2020-12-15 00:00:00,G,Security Project,Cloud/,Denver,No,4-5,Strategy & Consulting
107,2020-09-01 00:00:00,2020-11-15 00:00:00,B,IT Operations Project,PowerPoint/Python/,Denver,No,4-5,Technology
108,2020-04-01 00:00:00,2020-07-15 00:00:00,H,Business Project,Salesforce/Excel/,Boston,Yes,4-5,Strategy & Consulting
109,2020-04-01 00:00:00,2020-04-15 00:00:00,E,Business Project,Salesforce/,DC,No,10-11,Interactive
110,2020-12-01 00:00:00,2020-12-15 00:00:00,A,Human Resources Project,Oral communication/Oral communication/,Denver,No,2-3,Interactive
111,2020-07-01 00:00:00,2020-11-15 00:00:00,A,Legal Project,PowerPoint/,NYC,Yes,6-7,Technology
112,2020-05-01 00:00:00,2020-12-15 00:00:00,A,Human Resources Project,Oral communication/Excel/Workday/,Boston,No,3-4,Operations
113,2020-08-01 00:00:00,2020-12-15 00:00:00,E,Human Resources Project,Oral communication/,Denver,No,2-3,Interactive
114,2020-07-01 00:00:00,2020-08-15 00:00:00,D,Human Resources Project,Workday/,Chicago,Yes,4-5,Interactive
115,2020-06-01 00:00:00,2020-07-15 00:00:00,A,Legal Project,Oral communication/PowerPoint/,Chicago,No,6-7,Interactive
116,2020-10-01 00:00:00,2020-12-15 00:00:00,G,Human Resources Project,PowerPoint/PowerPoint/,Boston,Yes,6-7,Strategy & Consulting
117,2020-05-01 00:00:00,2020-08-15 00:00:00,D,IT Operations Project,PowerPoint/Oracle/,NYC,No,3-4,Strategy & Consulting
118,2020-04-01 00:00:00,2020-07-15 00:00:00,B,Finance Project,PowerPoint/QuickBooks/Excel/,NYC,Yes,8-9,Strategy & Consulting
119,2020-04-01 00:00:00,2020-09-15 00:00:00,C,Strategy Project,Excel/,NYC,No,7-8,Operations
120,2020-07-01 00:00:00,2020-10-15 00:00:00,A,Security Project,Java/,Boston,Yes,2-3,Technology
121,2020-08-01 00:00:00,2020-10-15 00:00:00,B,Business Project,Excel/PowerPoint/Excel/,DC,Yes,6-7,Operations
122,2020-10-01 00:00:00,2020-10-15 00:00:00,E,IT Operations Project,Python/ML/,Boston,Yes,2-3,Operations
123,2020-09-01 00:00:00,2020-09-15 00:00:00,G,Business Project,PowerPoint/Salesforce/Excel/,DC,Yes,2-3,Strategy & Consulting
124,2020-08-01 00:00:00,2020-12-15 00:00:00,F,Legal Project,Bar/PowerPoint/,DC,No,5-6,Technology
125,2020-10-01 00:00:00,2020-12-15 00:00:00,A,Design Project,PowerPoint/,DC,No,10-11,Technology
126,2020-10-01 00:00:00,2020-11-15 00:00:00,F,Strategy Project,Critical thinking/Critical thinking/Excel/,DC,Yes,7-8,Interactive
127,2020-09-01 00:00:00,2020-12-15 00:00:00,H,Security Project,ML/Python/Java/,Denver,No,10-11,Strategy & Consulting
128,2020-05-01 00:00:00,2020-07-15 00:00:00,F,Legal Project,Excel/Excel/,Boston,Yes,3-4,Interactive
129,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Security Project,Java/,DC,Yes,10-11,Strategy & Consulting
130,2020-10-01 00:00:00,2020-11-15 00:00:00,B,Finance Project,PowerPoint/QuickBooks/QuickBooks/,NYC,No,4-5,Interactive
131,2020-11-01 00:00:00,2020-12-15 00:00:00,G,Finance Project,PowerPoint/SAP/,NYC,Yes,5-6,Operations
132,2020-03-01 00:00:00,2020-09-15 00:00:00,C,Legal Project,Bar/Bar/,NYC,No,2-3,Interactive
133,2020-03-01 00:00:00,2020-03-15 00:00:00,B,Account Leadership Project,Excel/,NYC,Yes,7-8,Strategy & Consulting
134,2020-05-01 00:00:00,2020-10-15 00:00:00,A,Business Project,Excel/Salesforce/Salesforce/,Denver,Yes,7-8,Operations
135,2020-03-01 00:00:00,2020-08-15 00:00:00,H,Finance Project,Excel/Excel/QuickBooks/,DC,No,9-10,Operations
136,2020-02-01 00:00:00,2020-07-15 00:00:00,D,Design Project,PhotoShop/Excel/,Boston,No,10-11,Strategy & Consulting
137,2020-04-01 00:00:00,2020-07-15 00:00:00,E,Strategy Project,PowerPoint/Critical thinking/,Boston,No,10-11,Operations
138,2020-11-01 00:00:00,2020-12-15 00:00:00,D,IT Operations Project,Excel/,Chicago,Yes,1-2,Strategy & Consulting
139,2020-05-01 00:00:00,2020-12-15 00:00:00,E,Security Project,Python/Oracle/,Denver,Yes,2-3,Interactive
140,2020-04-01 00:00:00,2020-10-15 00:00:00,H,Finance Project,QuickBooks/,DC,Yes,9-10,Interactive
141,2020-07-01 00:00:00,2020-07-15 00:00:00,G,Strategy Project,Critical thinking/,NYC,Yes,3-4,Interactive
142,2020-09-01 00:00:00,2020-10-15 00:00:00,B,Finance Project,QuickBooks/SAP/,Chicago,No,8-9,Strategy & Consulting
143,2020-03-01 00:00:00,2020-06-15 00:00:00,E,Strategy Project,PowerPoint/PowerPoint/PowerPoint/,Boston,No,8-9,Strategy & Consulting
144,2020-02-01 00:00:00,2020-12-15 00:00:00,F,Human Resources Project,Excel/,Chicago,Yes,1-2,Technology
145,2020-09-01 00:00:00,2020-10-15 00:00:00,E,Strategy Project,Critical thinking/Excel/Critical thinking/,Boston,No,4-5,Technology
146,2020-08-01 00:00:00,2020-11-15 00:00:00,D,Human Resources Project,Oral communication/Workday/PowerPoint/,DC,No,10-11,Interactive
147,2020-11-01 00:00:00,2020-12-15 00:00:00,E,Account Leadership Project,Oral communication/ML/Leadership/,NYC,Yes,4-5,Interactive
148,2020-12-01 00:00:00,2020-12-15 00:00:00,E,Finance Project,PowerPoint/,DC,No,10-11,Technology
149,2020-02-01 00:00:00,2020-06-15 00:00:00,F,Finance Project,Excel/QuickBooks/QuickBooks/,Chicago,Yes,9-10,Interactive
150,2020-07-01 00:00:00,2020-11-15 00:00:00,B,Business Project,Salesforce/PowerPoint/Excel/,Denver,No,7-8,Technology
151,2020-11-01 00:00:00,2020-11-15 00:00:00,D,Design Project,PhotoShop/PowerPoint/React.js/,Denver,No,5-6,Interactive
152,2020-08-01 00:00:00,2020-12-15 00:00:00,G,Security Project,Python/Excel/,Chicago,No,1-2,Technology
153,2020-07-01 00:00:00,2020-07-15 00:00:00,B,IT Operations Project,ML/PowerPoint/,Denver,Yes,4-5,Operations
154,2020-05-01 00:00:00,2020-11-15 00:00:00,G,Business Project,Excel/Salesforce/,Chicago,Yes,9-10,Strategy & Consulting
155,2020-05-01 00:00:00,2020-07-15 00:00:00,A,Strategy Project,Critical thinking/Critical thinking/PowerPoint/,Chicago,Yes,8-9,Strategy & Consulting
156,2020-11-01 00:00:00,2020-12-15 00:00:00,F,Design Project,PowerPoint/Excel/Adobe/,Chicago,Yes,2-3,Operations
157,2020-07-01 00:00:00,2020-10-15 00:00:00,C,Strategy Project,PowerPoint/,Boston,No,10-11,Interactive
158,2020-07-01 00:00:00,2020-10-15 00:00:00,B,Finance Project,SAP/,Boston,Yes,9-10,Interactive
159,2020-08-01 00:00:00,2020-11-15 00:00:00,C,Finance Project,PowerPoint/Excel/,NYC,Yes,6-7,Operations
160,2020-06-01 00:00:00,2020-10-15 00:00:00,A,Security Project,Java/ML/,Denver,Yes,2-3,Strategy & Consulting
161,2020-02-01 00:00:00,2020-10-15 00:00:00,E,Legal Project,Oral communication/PowerPoint/,NYC,Yes,1-2,Interactive
162,2020-05-01 00:00:00,2020-07-15 00:00:00,A,Engineering Project,MATLAB/Excel/PowerPoint/,NYC,No,9-10,Interactive
163,2020-11-01 00:00:00,2020-12-15 00:00:00,A,Finance Project,QuickBooks/PowerPoint/,NYC,Yes,6-7,Interactive
164,2020-09-01 00:00:00,2020-09-15 00:00:00,B,Security Project,ML/Oracle/,Denver,Yes,1-2,Operations
165,2020-03-01 00:00:00,2020-04-15 00:00:00,B,Account Leadership Project,Leadership/,Denver,Yes,9-10,Operations
166,2020-02-01 00:00:00,2020-05-15 00:00:00,A,Security Project,Oracle/,Boston,Yes,1-2,Operations
167,2020-03-01 00:00:00,2020-03-15 00:00:00,D,Account Leadership Project,PowerPoint/Leadership/ML/,DC,No,10-11,Operations
168,2020-07-01 00:00:00,2020-10-15 00:00:00,F,Strategy Project,PowerPoint/PowerPoint/,DC,No,2-3,Strategy & Consulting
169,2020-03-01 00:00:00,2020-09-15 00:00:00,A,Account Leadership Project,PowerPoint/,Denver,No,4-5,Operations
170,2020-04-01 00:00:00,2020-04-15 00:00:00,C,Business Project,Excel/PowerPoint/Salesforce/,Boston,Yes,10-11,Interactive
171,2020-04-01 00:00:00,2020-05-15 00:00:00,E,Human Resources Project,Oral communication/Excel/Excel/,NYC,Yes,2-3,Technology
172,2020-12-01 00:00:00,2020-12-15 00:00:00,G,Finance Project,PowerPoint/SAP/,Denver,No,9-10,Technology
173,2020-11-01 00:00:00,2020-12-15 00:00:00,C,Finance Project,SAP/PowerPoint/,Denver,No,3-4,Technology
174,2020-02-01 00:00:00,2020-07-15 00:00:00,E,Engineering Project,Python/Excel/,NYC,Yes,4-5,Operations
175,2020-06-01 00:00:00,2020-11-15 00:00:00,C,Finance Project,PowerPoint/Excel/SAP/,DC,No,7-8,Operations
176,2020-08-01 00:00:00,2020-11-15 00:00:00,B,Strategy Project,PowerPoint/PowerPoint/,DC,No,7-8,Strategy & Consulting
177,2020-02-01 00:00:00,2020-09-15 00:00:00,B,IT Operations Project,Cloud/,Chicago,Yes,10-11,Operations
178,2020-04-01 00:00:00,2020-11-15 00:00:00,H,Account Leadership Project,Cloud/Oral communication/,Denver,No,1-2,Strategy & Consulting
179,2020-09-01 00:00:00,2020-11-15 00:00:00,F,Engineering Project,MATLAB/PowerPoint/MATLAB/,Boston,Yes,8-9,Interactive
180,2020-04-01 00:00:00,2020-09-15 00:00:00,A,Business Project,Excel/PowerPoint/,DC,No,7-8,Interactive
181,2020-03-01 00:00:00,2020-10-15 00:00:00,E,Human Resources Project,Excel/,Denver,Yes,10-11,Technology
182,2020-05-01 00:00:00,2020-07-15 00:00:00,E,Strategy Project,PowerPoint/,Boston,No,2-3,Operations
183,2020-01-01 00:00:00,2020-03-15 00:00:00,F,IT Operations Project,Oracle/ML/,NYC,No,3-4,Operations
184,2020-05-01 00:00:00,2020-12-15 00:00:00,D,Human Resources Project,PowerPoint/,NYC,Yes,2-3,Strategy & Consulting
185,2020-01-01 00:00:00,2020-10-15 00:00:00,C,Strategy Project,Critical thinking/Critical thinking/,Boston,Yes,5-6,Operations
186,2020-10-01 00:00:00,2020-12-15 00:00:00,C,Business Project,Excel/Excel/,Boston,No,5-6,Strategy & Consulting
187,2020-11-01 00:00:00,2020-11-15 00:00:00,G,Finance Project,Excel/,Chicago,No,2-3,Strategy & Consulting
188,2020-08-01 00:00:00,2020-08-15 00:00:00,C,Strategy Project,PowerPoint/,Denver,Yes,8-9,Technology
189,2020-11-01 00:00:00,2020-12-15 00:00:00,E,Account Leadership Project,ML/Oral communication/,NYC,No,1-2,Interactive
190,2020-01-01 00:00:00,2020-02-15 00:00:00,F,IT Operations Project,Java/,Boston,Yes,10-11,Operations
191,2020-03-01 00:00:00,2020-10-15 00:00:00,G,Strategy Project,Excel/Critical thinking/,NYC,No,8-9,Interactive
192,2020-10-01 00:00:00,2020-12-15 00:00:00,C,Account Leadership Project,Excel/,DC,No,8-9,Technology
193,2020-09-01 00:00:00,2020-11-15 00:00:00,D,Engineering Project,Excel/,Boston,No,1-2,Technology
194,2020-12-01 00:00:00,2020-12-15 00:00:00,H,Strategy Project,Critical thinking/Critical thinking/,DC,Yes,8-9,Operations
195,2020-09-01 00:00:00,2020-09-15 00:00:00,H,Human Resources Project,Workday/Workday/Excel/,DC,No,9-10,Operations
196,2020-01-01 00:00:00,2020-05-15 00:00:00,G,Security Project,Python/Cloud/,Chicago,Yes,9-10,Strategy & Consulting
197,2020-08-01 00:00:00,2020-09-15 00:00:00,A,Engineering Project,Python/Excel/,Denver,No,8-9,Interactive
198,2020-04-01 00:00:00,2020-05-15 00:00:00,F,IT Operations Project,Cloud/Excel/,NYC,No,9-10,Operations
199,2020-08-01 00:00:00,2020-12-15 00:00:00,G,Design Project,React.js/Adobe/,Denver,No,4-5,Strategy & Consulting
200,2020-05-01 00:00:00,2020-10-15 00:00:00,H,Engineering Project,Python/,DC,Yes,8-9,Operations
201,2020-03-01 00:00:00,2020-12-15 00:00:00,C,Human Resources Project,Oral communication/Excel/,NYC,Yes,3-4,Operations
202,2020-07-01 00:00:00,2020-08-15 00:00:00,A,Security Project,Python/Python/PowerPoint/,Denver,No,8-9,Interactive
203,2020-06-01 00:00:00,2020-07-15 00:00:00,H,Security Project,Java/ML/,DC,No,5-6,Technology
204,2020-12-01 00:00:00,2020-12-15 00:00:00,H,Business Project,PowerPoint/Excel/,Chicago,No,2-3,Interactive
205,2020-08-01 00:00:00,2020-10-15 00:00:00,F,Security Project,ML/,Boston,Yes,8-9,Strategy & Consulting
206,2020-03-01 00:00:00,2020-08-15 00:00:00,H,Security Project,ML/Python/Python/,Denver,Yes,5-6,Interactive
207,2020-06-01 00:00:00,2020-09-15 00:00:00,B,Design Project,PhotoShop/,NYC,Yes,10-11,Operations
208,2020-12-01 00:00:00,2020-12-15 00:00:00,G,Security Project,PowerPoint/Cloud/Cloud/,DC,No,10-11,Technology
209,2020-07-01 00:00:00,2020-11-15 00:00:00,F,Engineering Project,Excel/MATLAB/Excel/,Denver,Yes,10-11,Interactive
210,2020-11-01 00:00:00,2020-11-15 00:00:00,A,Business Project,PowerPoint/,NYC,No,7-8,Technology
211,2020-07-01 00:00:00,2020-12-15 00:00:00,A,Security Project,Oracle/Oracle/,Boston,No,7-8,Strategy & Consulting
212,2020-07-01 00:00:00,2020-09-15 00:00:00,D,Legal Project,Oral communication/Oral communication/,Boston,No,5-6,Operations
213,2020-06-01 00:00:00,2020-10-15 00:00:00,H,Human Resources Project,Excel/PowerPoint/,NYC,No,2-3,Strategy & Consulting
214,2020-02-01 00:00:00,2020-02-15 00:00:00,E,Design Project,Adobe/PowerPoint/,NYC,Yes,8-9,Technology
215,2020-06-01 00:00:00,2020-06-15 00:00:00,B,Business Project,Excel/Excel/PowerPoint/,NYC,No,7-8,Operations
