Candidate UID,Service,Talent Segment,Level,Skills,Coming Available,Local Office,Local Preference
25,Operations,IT Operations,1,Oracle/Java/Cloud/,2020-07-01 00:00:00,Boston,Yes
26,Strategy & Consulting,Security,4,Excel/ML/Java/,2020-05-01 00:00:00,Denver,Yes
27,Interactive,Human Resources,3,PowerPoint/PowerPoint/Excel/,2020-02-01 00:00:00,Denver,No
28,Interactive,IT Operations,1,Cloud/,2020-01-01 00:00:00,Chicago,No
29,Technology,Engineering,8,Java/MATLAB/Python/MATLAB/,2020-06-01 00:00:00,DC,No
30,Technology,Design,8,Excel/,2020-02-01 00:00:00,NYC,Yes
31,Interactive,Finance,5,QuickBooks/SAP/,2020-10-01 00:00:00,Boston,No
32,Interactive,Account Leadership,11,Excel/Leadership/Oral communication/,2020-01-01 00:00:00,Denver,Yes
33,Operations,Legal,2,PowerPoint/Excel/,2020-05-01 00:00:00,DC,Yes
34,Operations,Human Resources,9,Excel/Oral communication/PowerPoint/Excel/,2020-02-01 00:00:00,DC,No
35,Strategy & Consulting,IT Operations,10,ML/Python/Oracle/,2020-01-01 00:00:00,NYC,Yes
36,Strategy & Consulting,Business,1,PowerPoint/PowerPoint/Salesforce/,2020-03-01 00:00:00,NYC,No
37,Operations,Design,3,PhotoShop/PhotoShop/Adobe/,2020-02-01 00:00:00,Denver,Yes
38,Interactive,Design,8,Excel/PhotoShop/PowerPoint/,2020-11-01 00:00:00,Boston,Yes
39,Technology,Finance,4,QuickBooks/QuickBooks/Excel/QuickBooks/,2020-10-01 00:00:00,Denver,No
40,Technology,Design,4,Adobe/Adobe/PowerPoint/PhotoShop/,2020-08-01 00:00:00,Chicago,Yes
41,Operations,Human Resources,5,PowerPoint/PowerPoint/Workday/Oral communication/,2020-08-01 00:00:00,DC,Yes
42,Interactive,IT Operations,3,Java/Oracle/,2020-10-01 00:00:00,NYC,Yes
43,Technology,Design,11,PowerPoint/PhotoShop/React.js/,2020-02-01 00:00:00,NYC,Yes
44,Operations,IT Operations,9,ML/Python/,2020-01-01 00:00:00,Chicago,No
45,Operations,Account Leadership,3,Oral communication/Oral communication/,2020-03-01 00:00:00,Boston,Yes
46,Technology,Design,11,Adobe/,2020-12-01 00:00:00,Chicago,No
47,Strategy & Consulting,Security,8,Python/Java/Excel/,2020-12-01 00:00:00,DC,Yes
48,Operations,Engineering,9,MATLAB/,2020-03-01 00:00:00,Chicago,No
49,Technology,Engineering,11,Java/Excel/Excel/,2020-01-01 00:00:00,Denver,Yes
50,Operations,Strategy,6,Excel/,2020-07-01 00:00:00,Chicago,Yes
51,Strategy & Consulting,IT Operations,4,ML/,2020-10-01 00:00:00,Boston,No
52,Strategy & Consulting,Human Resources,8,Oral communication/Oral communication/,2020-02-01 00:00:00,NYC,No
53,Interactive,Human Resources,4,PowerPoint/,2020-12-01 00:00:00,Chicago,No
54,Operations,Account Leadership,5,Oral communication/PowerPoint/ML/,2020-11-01 00:00:00,Chicago,No
55,Operations,Design,4,Excel/Excel/,2020-08-01 00:00:00,NYC,Yes
56,Technology,IT Operations,2,Cloud/,2020-04-01 00:00:00,NYC,Yes
57,Strategy & Consulting,Design,8,Adobe/Adobe/,2020-06-01 00:00:00,DC,No
58,Technology,Finance,11,PowerPoint/,2020-03-01 00:00:00,Chicago,Yes
59,Strategy & Consulting,Design,6,React.js/PhotoShop/,2020-05-01 00:00:00,DC,No
60,Operations,IT Operations,1,Oracle/ML/,2020-12-01 00:00:00,Denver,Yes
61,Technology,Strategy,9,PowerPoint/,2020-02-01 00:00:00,Denver,No
62,Strategy & Consulting,Account Leadership,10,Oral communication/Excel/ML/,2020-04-01 00:00:00,NYC,Yes
63,Interactive,Account Leadership,4,PowerPoint/,2020-01-01 00:00:00,Denver,No
64,Technology,Engineering,7,Excel/Excel/Excel/Java/,2020-01-01 00:00:00,Denver,Yes
65,Technology,IT Operations,4,Python/,2020-09-01 00:00:00,Denver,Yes
66,Operations,Strategy,6,Excel/Critical thinking/Critical thinking/Excel/,2020-01-01 00:00:00,NYC,No
67,Interactive,Security,10,Cloud/Cloud/,2020-05-01 00:00:00,Boston,No
68,Technology,IT Operations,7,Cloud/Excel/PowerPoint/,2020-04-01 00:00:00,Boston,No
69,Interactive,Account Leadership,6,Oral communication/Oral communication/,2020-08-01 00:00:00,Chicago,No
70,Operations,Security,4,ML/,2020-11-01 00:00:00,DC,No
71,Technology,Strategy,8,PowerPoint/Excel/,2020-11-01 00:00:00,NYC,No
72,Interactive,Business,10,Salesforce/,2020-05-01 00:00:00,NYC,No
73,Operations,Design,2,PowerPoint/PhotoShop/Excel/,2020-11-01 00:00:00,Boston,No
74,Strategy & Consulting,Human Resources,7,Excel/PowerPoint/Excel/Excel/,2020-02-01 00:00:00,Chicago,No
75,Strategy & Consulting,Business,5,PowerPoint/PowerPoint/,2020-01-01 00:00:00,Boston,No
76,Operations,Security,3,Cloud/,2020-11-01 00:00:00,Denver,No
77,Technology,Engineering,6,PowerPoint/Python/MATLAB/Java/,2020-09-01 00:00:00,NYC,Yes
78,Strategy & Consulting,Design,10,PhotoShop/PhotoShop/,2020-02-01 00:00:00,Denver,Yes
79,Interactive,Strategy,6,Excel/PowerPoint/,2020-06-01 00:00:00,DC,No
80,Operations,Legal,3,Oral communication/PowerPoint/Excel/,2020-10-01 00:00:00,Boston,Yes
81,Strategy & Consulting,Finance,7,QuickBooks/SAP/QuickBooks/SAP/,2020-11-01 00:00:00,Denver,No
82,Interactive,Human Resources,6,Oral communication/Excel/,2020-05-01 00:00:00,Denver,No
83,Operations,Strategy,1,Excel/PowerPoint/Critical thinking/,2020-08-01 00:00:00,Denver,Yes
84,Operations,Human Resources,11,PowerPoint/Workday/,2020-02-01 00:00:00,NYC,Yes
85,Operations,Human Resources,11,Excel/Oral communication/Workday/,2020-09-01 00:00:00,Denver,No
86,Strategy & Consulting,Account Leadership,3,PowerPoint/,2020-04-01 00:00:00,Boston,No
87,Technology,Business,1,PowerPoint/,2020-05-01 00:00:00,Denver,No
88,Interactive,IT Operations,6,Oracle/Excel/Cloud/Oracle/,2020-10-01 00:00:00,NYC,Yes
89,Operations,Legal,11,Excel/Bar/PowerPoint/Bar/,2020-12-01 00:00:00,Boston,No
90,Technology,Engineering,10,Python/,2020-07-01 00:00:00,Boston,Yes
91,Interactive,Security,10,PowerPoint/Cloud/Excel/Oracle/,2020-01-01 00:00:00,DC,No
92,Operations,Security,11,Excel/Cloud/Excel/,2020-08-01 00:00:00,NYC,No
93,Strategy & Consulting,Design,9,Adobe/PowerPoint/React.js/,2020-12-01 00:00:00,Boston,No
94,Technology,Business,3,PowerPoint/,2020-06-01 00:00:00,Boston,No
95,Operations,Strategy,1,Excel/Excel/Excel/,2020-02-01 00:00:00,Denver,Yes
96,Interactive,Legal,7,Bar/Oral communication/,2020-08-01 00:00:00,Denver,No
97,Interactive,Human Resources,2,Oral communication/,2020-11-01 00:00:00,Denver,No
98,Strategy & Consulting,IT Operations,9,Cloud/Oracle/Excel/Java/,2020-05-01 00:00:00,Chicago,No
99,Strategy & Consulting,Strategy,11,PowerPoint/,2020-12-01 00:00:00,Chicago,No
100,Interactive,Human Resources,2,Workday/Oral communication/,2020-10-01 00:00:00,NYC,Yes
101,Strategy & Consulting,Security,8,Python/Excel/Java/,2020-03-01 00:00:00,Boston,Yes
102,Technology,Strategy,10,Critical thinking/Critical thinking/Critical thinking/,2020-11-01 00:00:00,DC,No
103,Technology,Strategy,10,Critical thinking/Critical thinking/,2020-09-01 00:00:00,DC,Yes
104,Interactive,Legal,7,Oral communication/,2020-11-01 00:00:00,Boston,No
105,Interactive,Account Leadership,8,Leadership/ML/Leadership/Leadership/,2020-07-01 00:00:00,Chicago,Yes
106,Interactive,Finance,6,SAP/,2020-07-01 00:00:00,Denver,Yes
107,Technology,Finance,1,SAP/,2020-01-01 00:00:00,NYC,No
108,Operations,Business,10,Salesforce/Salesforce/,2020-04-01 00:00:00,Chicago,No
109,Interactive,Strategy,11,Critical thinking/Critical thinking/,2020-04-01 00:00:00,NYC,No
110,Technology,Business,9,Salesforce/Salesforce/,2020-04-01 00:00:00,DC,Yes
111,Interactive,Finance,1,PowerPoint/PowerPoint/PowerPoint/PowerPoint/,2020-04-01 00:00:00,NYC,Yes
112,Strategy & Consulting,Finance,9,Excel/,2020-05-01 00:00:00,NYC,Yes
113,Interactive,Account Leadership,8,Excel/Cloud/Leadership/Leadership/,2020-08-01 00:00:00,NYC,No
114,Technology,Account Leadership,10,Leadership/,2020-12-01 00:00:00,Chicago,No
115,Interactive,Security,8,Cloud/Python/Cloud/Oracle/,2020-01-01 00:00:00,Chicago,No
116,Interactive,Legal,2,Excel/Oral communication/PowerPoint/Oral communication/,2020-06-01 00:00:00,NYC,No
117,Interactive,Engineering,5,Python/MATLAB/,2020-08-01 00:00:00,Denver,No
118,Operations,Human Resources,9,Workday/,2020-09-01 00:00:00,Boston,Yes
119,Operations,IT Operations,1,Excel/Oracle/Java/,2020-08-01 00:00:00,Boston,No
120,Interactive,Business,1,PowerPoint/Salesforce/PowerPoint/,2020-04-01 00:00:00,NYC,No
121,Operations,Finance,9,PowerPoint/QuickBooks/Excel/SAP/,2020-10-01 00:00:00,NYC,No
122,Interactive,Security,6,Excel/Oracle/Cloud/Java/,2020-08-01 00:00:00,NYC,Yes
123,Technology,Legal,4,PowerPoint/,2020-09-01 00:00:00,NYC,No
124,Technology,Engineering,3,Java/Python/MATLAB/Python/,2020-08-01 00:00:00,Chicago,No
125,Operations,Design,11,React.js/PhotoShop/PowerPoint/,2020-11-01 00:00:00,Denver,Yes
126,Interactive,Engineering,8,MATLAB/Python/MATLAB/MATLAB/,2020-01-01 00:00:00,Boston,No
127,Technology,Design,5,Adobe/,2020-09-01 00:00:00,Boston,Yes
128,Interactive,Legal,1,Excel/PowerPoint/Oral communication/Oral communication/,2020-12-01 00:00:00,Denver,Yes
129,Technology,Engineering,9,Java/Java/Excel/,2020-12-01 00:00:00,NYC,Yes
130,Operations,Finance,9,SAP/Excel/QuickBooks/,2020-07-01 00:00:00,Chicago,Yes
131,Interactive,Business,11,PowerPoint/Salesforce/,2020-12-01 00:00:00,Boston,No
132,Operations,Account Leadership,1,Leadership/ML/Cloud/,2020-04-01 00:00:00,DC,Yes
133,Strategy & Consulting,Human Resources,7,Workday/Excel/,2020-12-01 00:00:00,NYC,Yes
134,Operations,IT Operations,5,Python/Oracle/Oracle/Python/,2020-08-01 00:00:00,Chicago,No
135,Technology,IT Operations,5,Oracle/Cloud/,2020-01-01 00:00:00,Chicago,No
136,Interactive,Strategy,1,Excel/PowerPoint/PowerPoint/,2020-01-01 00:00:00,Boston,No
137,Interactive,Finance,5,SAP/SAP/PowerPoint/PowerPoint/,2020-07-01 00:00:00,NYC,No
138,Strategy & Consulting,Human Resources,10,Excel/,2020-05-01 00:00:00,Chicago,Yes
139,Operations,Legal,10,PowerPoint/,2020-03-01 00:00:00,Chicago,No
140,Operations,Legal,5,Bar/,2020-05-01 00:00:00,Denver,No
141,Interactive,Finance,4,PowerPoint/PowerPoint/SAP/SAP/,2020-05-01 00:00:00,Denver,Yes
142,Interactive,Finance,10,PowerPoint/Excel/SAP/Excel/,2020-11-01 00:00:00,Denver,No
143,Technology,Business,6,PowerPoint/Excel/PowerPoint/,2020-07-01 00:00:00,DC,Yes
144,Strategy & Consulting,Business,9,Salesforce/Excel/,2020-06-01 00:00:00,NYC,No
145,Operations,Account Leadership,3,Cloud/Oral communication/Cloud/Oral communication/,2020-11-01 00:00:00,DC,Yes
146,Technology,Human Resources,7,PowerPoint/Workday/Oral communication/,2020-04-01 00:00:00,Chicago,Yes
147,Interactive,Strategy,5,Excel/PowerPoint/Excel/Critical thinking/,2020-01-01 00:00:00,DC,No
148,Strategy & Consulting,Design,7,Adobe/PowerPoint/PhotoShop/PhotoShop/,2020-08-01 00:00:00,Chicago,Yes
149,Technology,Finance,2,QuickBooks/,2020-03-01 00:00:00,Denver,Yes
150,Interactive,Account Leadership,7,Cloud/Cloud/,2020-10-01 00:00:00,NYC,No
151,Interactive,IT Operations,7,PowerPoint/Cloud/Python/ML/,2020-03-01 00:00:00,NYC,No
152,Strategy & Consulting,IT Operations,7,Oracle/Java/PowerPoint/,2020-05-01 00:00:00,Chicago,Yes
153,Strategy & Consulting,Security,10,Python/Python/Excel/,2020-02-01 00:00:00,DC,Yes
154,Interactive,Business,8,Salesforce/,2020-05-01 00:00:00,Denver,No
155,Operations,IT Operations,6,Oracle/,2020-04-01 00:00:00,Chicago,Yes
156,Interactive,Strategy,3,Excel/PowerPoint/Critical thinking/Critical thinking/,2020-10-01 00:00:00,NYC,No
157,Operations,Legal,9,Excel/Bar/Excel/PowerPoint/,2020-04-01 00:00:00,Denver,No
158,Strategy & Consulting,Human Resources,6,Oral communication/Oral communication/,2020-11-01 00:00:00,Boston,No
159,Interactive,Human Resources,3,Excel/PowerPoint/Workday/PowerPoint/,2020-06-01 00:00:00,Boston,Yes
160,Technology,Security,11,Cloud/Excel/,2020-02-01 00:00:00,DC,No
161,Technology,Human Resources,6,Oral communication/Excel/,2020-08-01 00:00:00,DC,No
162,Operations,Business,4,Salesforce/Salesforce/Excel/Salesforce/,2020-07-01 00:00:00,NYC,Yes
163,Operations,Finance,9,Excel/Excel/QuickBooks/Excel/,2020-10-01 00:00:00,Boston,No
164,Interactive,Engineering,1,Java/Java/MATLAB/MATLAB/,2020-01-01 00:00:00,Denver,Yes
165,Interactive,Strategy,11,PowerPoint/,2020-12-01 00:00:00,DC,No
166,Strategy & Consulting,Legal,3,Excel/,2020-06-01 00:00:00,Chicago,No
167,Operations,Security,5,PowerPoint/ML/,2020-11-01 00:00:00,Chicago,Yes
168,Technology,Business,10,PowerPoint/,2020-06-01 00:00:00,Boston,No
169,Operations,Strategy,7,Excel/,2020-11-01 00:00:00,Chicago,No
170,Operations,Security,10,PowerPoint/Cloud/Java/PowerPoint/,2020-09-01 00:00:00,NYC,Yes
171,Operations,Engineering,11,Java/Java/Excel/,2020-08-01 00:00:00,NYC,Yes
172,Strategy & Consulting,Security,8,Java/PowerPoint/Oracle/Python/,2020-10-01 00:00:00,NYC,Yes
173,Interactive,Finance,10,SAP/PowerPoint/,2020-05-01 00:00:00,Boston,Yes
174,Interactive,Finance,9,PowerPoint/SAP/Excel/,2020-02-01 00:00:00,Denver,Yes
175,Strategy & Consulting,Engineering,5,Python/,2020-06-01 00:00:00,Denver,No
176,Operations,Account Leadership,9,Cloud/Cloud/Oral communication/,2020-04-01 00:00:00,Denver,Yes
177,Interactive,Security,8,Python/,2020-02-01 00:00:00,Boston,No
178,Technology,Account Leadership,3,Cloud/,2020-02-01 00:00:00,NYC,No
179,Strategy & Consulting,Strategy,5,Excel/PowerPoint/,2020-10-01 00:00:00,NYC,Yes
180,Technology,Engineering,1,PowerPoint/MATLAB/Excel/Excel/,2020-06-01 00:00:00,Denver,Yes
181,Strategy & Consulting,IT Operations,4,Oracle/,2020-08-01 00:00:00,NYC,No
182,Technology,Strategy,1,PowerPoint/Critical thinking/PowerPoint/,2020-07-01 00:00:00,NYC,Yes
183,Interactive,IT Operations,4,Excel/ML/Oracle/,2020-06-01 00:00:00,Chicago,Yes
184,Interactive,Engineering,5,PowerPoint/Python/,2020-05-01 00:00:00,NYC,Yes
185,Operations,Engineering,2,Java/,2020-07-01 00:00:00,Denver,No
186,Technology,Business,11,Excel/Salesforce/PowerPoint/,2020-01-01 00:00:00,Boston,Yes
187,Interactive,Business,3,Excel/Excel/,2020-09-01 00:00:00,DC,Yes
188,Strategy & Consulting,IT Operations,2,Excel/ML/Python/,2020-12-01 00:00:00,NYC,Yes
189,Strategy & Consulting,Strategy,8,PowerPoint/,2020-11-01 00:00:00,Chicago,Yes
190,Technology,Finance,11,Excel/PowerPoint/SAP/QuickBooks/,2020-03-01 00:00:00,Boston,Yes
191,Technology,Finance,6,SAP/SAP/Excel/,2020-07-01 00:00:00,NYC,Yes
192,Interactive,Security,7,Cloud/Oracle/ML/Java/,2020-07-01 00:00:00,NYC,No
193,Strategy & Consulting,Security,9,ML/Java/Java/,2020-07-01 00:00:00,NYC,Yes
194,Operations,Strategy,11,PowerPoint/Excel/Critical thinking/Excel/,2020-09-01 00:00:00,Denver,Yes
195,Technology,Legal,6,Oral communication/PowerPoint/,2020-11-01 00:00:00,Boston,No
196,Operations,Legal,10,Bar/PowerPoint/Bar/,2020-10-01 00:00:00,Denver,No
197,Interactive,Security,5,Oracle/ML/Oracle/,2020-07-01 00:00:00,Chicago,No
198,Strategy & Consulting,Human Resources,2,Excel/,2020-10-01 00:00:00,Chicago,No
199,Strategy & Consulting,Business,2,PowerPoint/PowerPoint/Excel/,2020-01-01 00:00:00,Chicago,Yes
200,Technology,Human Resources,10,Excel/Excel/Oral communication/,2020-01-01 00:00:00,Chicago,Yes
201,Technology,Account Leadership,2,Leadership/Cloud/Oral communication/Leadership/,2020-08-01 00:00:00,Chicago,Yes
202,Strategy & Consulting,Strategy,1,Excel/PowerPoint/Excel/,2020-03-01 00:00:00,Chicago,No
203,Technology,Account Leadership,5,ML/Excel/,2020-04-01 00:00:00,DC,Yes
204,Operations,Finance,9,PowerPoint/Excel/QuickBooks/QuickBooks/,2020-10-01 00:00:00,NYC,Yes
205,Operations,Legal,10,PowerPoint/Bar/Bar/Oral communication/,2020-01-01 00:00:00,NYC,Yes
206,Interactive,Finance,1,SAP/SAP/QuickBooks/Excel/,2020-01-01 00:00:00,DC,Yes
207,Operations,Finance,6,Excel/QuickBooks/QuickBooks/,2020-09-01 00:00:00,DC,No
208,Technology,Design,9,Excel/React.js/,2020-08-01 00:00:00,NYC,No
209,Interactive,Business,8,Excel/PowerPoint/PowerPoint/PowerPoint/,2020-07-01 00:00:00,Chicago,Yes
210,Technology,Design,5,Adobe/PhotoShop/Excel/React.js/,2020-03-01 00:00:00,DC,No
211,Technology,Strategy,9,Critical thinking/PowerPoint/Critical thinking/,2020-08-01 00:00:00,DC,No
212,Operations,Engineering,5,Java/,2020-08-01 00:00:00,NYC,Yes
213,Interactive,Security,7,Oracle/ML/Excel/Java/,2020-02-01 00:00:00,NYC,Yes
214,Strategy & Consulting,Design,6,Adobe/Adobe/PhotoShop/,2020-01-01 00:00:00,Chicago,No
215,Strategy & Consulting,Strategy,5,Critical thinking/Excel/Critical thinking/Excel/,2020-12-01 00:00:00,Chicago,No
216,Operations,Engineering,9,PowerPoint/Python/Java/,2020-06-01 00:00:00,DC,No
217,Technology,Human Resources,9,Excel/,2020-02-01 00:00:00,Chicago,No
218,Interactive,IT Operations,4,PowerPoint/Cloud/,2020-10-01 00:00:00,DC,Yes
219,Operations,Engineering,7,Python/Python/MATLAB/PowerPoint/,2020-06-01 00:00:00,DC,Yes
220,Technology,Account Leadership,2,Oral communication/,2020-08-01 00:00:00,Denver,No
221,Technology,Security,8,Cloud/,2020-10-01 00:00:00,Denver,Yes
222,Technology,IT Operations,3,ML/PowerPoint/,2020-10-01 00:00:00,Denver,No
223,Operations,Human Resources,11,Oral communication/Excel/,2020-10-01 00:00:00,NYC,Yes
224,Interactive,Human Resources,5,Excel/Oral communication/Workday/PowerPoint/,2020-05-01 00:00:00,Chicago,Yes
225,Technology,Security,10,Python/,2020-07-01 00:00:00,DC,Yes
226,Technology,IT Operations,5,Oracle/,2020-11-01 00:00:00,NYC,Yes
227,Operations,IT Operations,5,Excel/Cloud/,2020-01-01 00:00:00,NYC,Yes
228,Operations,Human Resources,11,Excel/Workday/Excel/Excel/,2020-02-01 00:00:00,NYC,Yes
229,Technology,Account Leadership,6,Leadership/Cloud/,2020-03-01 00:00:00,Denver,Yes
230,Operations,Business,5,Excel/Salesforce/,2020-12-01 00:00:00,Denver,No
231,Interactive,Engineering,3,Excel/,2020-04-01 00:00:00,Denver,No
232,Interactive,Strategy,6,PowerPoint/,2020-07-01 00:00:00,Chicago,No
233,Technology,Legal,7,Oral communication/Bar/Bar/,2020-12-01 00:00:00,Chicago,No
234,Operations,IT Operations,5,ML/,2020-03-01 00:00:00,Chicago,Yes
235,Strategy & Consulting,IT Operations,11,Cloud/,2020-09-01 00:00:00,NYC,No
236,Technology,Legal,11,PowerPoint/,2020-01-01 00:00:00,Denver,No
237,Strategy & Consulting,Engineering,6,PowerPoint/PowerPoint/,2020-07-01 00:00:00,DC,Yes
238,Technology,IT Operations,3,Java/,2020-02-01 00:00:00,Denver,Yes
239,Interactive,Security,4,Oracle/,2020-02-01 00:00:00,Chicago,No
240,Operations,Security,10,Excel/ML/,2020-06-01 00:00:00,Denver,No
241,Technology,IT Operations,7,Python/PowerPoint/ML/,2020-03-01 00:00:00,Chicago,No
242,Technology,Finance,2,QuickBooks/PowerPoint/,2020-07-01 00:00:00,NYC,Yes
243,Interactive,Finance,10,SAP/PowerPoint/Excel/,2020-11-01 00:00:00,Denver,Yes
244,Technology,Business,3,PowerPoint/PowerPoint/,2020-04-01 00:00:00,Chicago,No
245,Strategy & Consulting,Human Resources,6,Oral communication/Excel/Workday/PowerPoint/,2020-03-01 00:00:00,DC,Yes
246,Strategy & Consulting,Business,11,PowerPoint/PowerPoint/,2020-01-01 00:00:00,Denver,No
247,Operations,Business,1,Salesforce/Salesforce/,2020-10-01 00:00:00,Denver,No
248,Strategy & Consulting,Human Resources,9,Oral communication/Workday/Oral communication/,2020-12-01 00:00:00,DC,Yes
249,Technology,Human Resources,11,PowerPoint/PowerPoint/,2020-07-01 00:00:00,Boston,No
250,Operations,Design,1,PhotoShop/Excel/PhotoShop/PowerPoint/,2020-04-01 00:00:00,Denver,No
251,Technology,IT Operations,8,Cloud/Java/,2020-07-01 00:00:00,Denver,Yes
252,Interactive,IT Operations,3,Java/Python/,2020-12-01 00:00:00,NYC,Yes
253,Interactive,Design,7,PowerPoint/Excel/Adobe/PhotoShop/,2020-10-01 00:00:00,Denver,Yes
254,Strategy & Consulting,Legal,6,Excel/Oral communication/Bar/PowerPoint/,2020-03-01 00:00:00,Boston,Yes
255,Strategy & Consulting,Finance,6,Excel/QuickBooks/PowerPoint/,2020-03-01 00:00:00,Boston,Yes
256,Operations,Business,3,Salesforce/,2020-06-01 00:00:00,Denver,Yes
257,Operations,Business,11,Excel/Salesforce/Salesforce/Salesforce/,2020-06-01 00:00:00,NYC,No
258,Strategy & Consulting,Security,5,Python/Cloud/Python/Cloud/,2020-12-01 00:00:00,Denver,No
259,Operations,Engineering,10,MATLAB/MATLAB/Java/,2020-01-01 00:00:00,Chicago,No
260,Operations,IT Operations,1,PowerPoint/Oracle/Oracle/,2020-06-01 00:00:00,NYC,No
261,Technology,Finance,8,PowerPoint/QuickBooks/QuickBooks/,2020-02-01 00:00:00,Boston,Yes
262,Strategy & Consulting,Engineering,8,MATLAB/,2020-12-01 00:00:00,NYC,Yes
263,Strategy & Consulting,Business,10,Salesforce/PowerPoint/Salesforce/,2020-08-01 00:00:00,DC,Yes
264,Technology,IT Operations,4,ML/Python/PowerPoint/Python/,2020-03-01 00:00:00,Denver,Yes
265,Technology,Business,5,PowerPoint/Excel/PowerPoint/PowerPoint/,2020-11-01 00:00:00,DC,Yes
266,Operations,Human Resources,6,PowerPoint/,2020-06-01 00:00:00,NYC,Yes
267,Technology,Design,5,React.js/Excel/React.js/,2020-07-01 00:00:00,NYC,No
268,Technology,Strategy,10,Critical thinking/Excel/,2020-07-01 00:00:00,Denver,Yes
269,Strategy & Consulting,Design,1,PhotoShop/PowerPoint/React.js/Excel/,2020-05-01 00:00:00,Denver,Yes
270,Operations,Account Leadership,10,Excel/,2020-09-01 00:00:00,NYC,No
271,Interactive,Strategy,1,Critical thinking/,2020-07-01 00:00:00,Boston,No
272,Strategy & Consulting,Account Leadership,9,PowerPoint/Leadership/ML/ML/,2020-12-01 00:00:00,Denver,No
273,Operations,Legal,7,Oral communication/PowerPoint/Oral communication/,2020-06-01 00:00:00,DC,No
274,Strategy & Consulting,Legal,5,Excel/Oral communication/Bar/,2020-04-01 00:00:00,Chicago,No
275,Strategy & Consulting,Security,8,Excel/Oracle/,2020-08-01 00:00:00,NYC,No
276,Operations,Account Leadership,2,ML/Cloud/PowerPoint/Cloud/,2020-10-01 00:00:00,Chicago,No
277,Operations,Human Resources,2,Workday/Oral communication/,2020-09-01 00:00:00,NYC,Yes
278,Interactive,Security,2,Oracle/PowerPoint/,2020-07-01 00:00:00,Chicago,No
279,Strategy & Consulting,Strategy,2,Excel/Critical thinking/PowerPoint/,2020-10-01 00:00:00,Denver,No
280,Operations,Engineering,6,PowerPoint/MATLAB/Python/,2020-07-01 00:00:00,Denver,No
281,Strategy & Consulting,Account Leadership,7,Leadership/,2020-11-01 00:00:00,Chicago,Yes
282,Interactive,Account Leadership,10,Excel/ML/,2020-06-01 00:00:00,Boston,Yes
283,Strategy & Consulting,Design,8,Adobe/,2020-07-01 00:00:00,Chicago,Yes
284,Strategy & Consulting,IT Operations,10,Python/Java/,2020-09-01 00:00:00,NYC,No
285,Operations,IT Operations,1,Oracle/Cloud/,2020-12-01 00:00:00,NYC,Yes
286,Technology,Engineering,6,Excel/,2020-02-01 00:00:00,Denver,No
287,Technology,Business,6,Excel/Salesforce/Salesforce/PowerPoint/,2020-11-01 00:00:00,Chicago,No
288,Interactive,Security,4,Python/PowerPoint/,2020-07-01 00:00:00,Boston,Yes
289,Operations,Finance,6,QuickBooks/SAP/,2020-09-01 00:00:00,Denver,No
