UID,Chargeability,Start Date,End Date,Client,Project Name,Required Skills,Location,Local Requirement,Level
42,Yes,2020-10-01 00:00:00,2020-11-15 00:00:00,F,Cyber Integration,Cloud,DC,No,2-3
43,Yes,2020-06-01 00:00:00,2020-11-15 00:00:00,B,Chevron Cloud Security,Python,Denver,Yes,6-7
44,No,2020-02-01 00:00:00,2020-11-15 00:00:00,D,Cyber Integration,Java,Boston,Yes,8-9
45,No,2020-09-01 00:00:00,2020-11-15 00:00:00,F,Avande,Python,DC,Yes,6-7
46,No,2020-09-01 00:00:00,2020-09-15 00:00:00,H,iDefense- Odin,Python,NYC,Yes,3-4
47,No,2020-12-01 00:00:00,2020-12-15 00:00:00,B,iDefense- Odin,Java,NYC,Yes,8-9
48,No,2020-08-01 00:00:00,2020-11-15 00:00:00,E,Cyber Integration,Python,Denver,Yes,7-8
49,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,F,iDefense- Odin,ML,Boston,No,3-4
50,No,2020-04-01 00:00:00,2020-07-15 00:00:00,C,iDefense- Odin,Java,DC,No,4-5
51,Yes,2020-08-01 00:00:00,2020-12-15 00:00:00,H,Cloud Security Enablement Phase 1,Oracle,Chicago,No,6-7
52,No,2020-05-01 00:00:00,2020-07-15 00:00:00,A,iDefense- Odin,Cloud,DC,Yes,9-10
53,No,2020-05-01 00:00:00,2020-06-15 00:00:00,H,Journey2Cloud,Python,DC,Yes,6-7
54,No,2020-08-01 00:00:00,2020-10-15 00:00:00,G,Application Security F/P Analysis,Python,Denver,Yes,9-10
55,No,2020-12-01 00:00:00,2020-12-15 00:00:00,E,iDefense- Odin,Oracle,Boston,No,2-3
56,Yes,2020-10-01 00:00:00,2020-12-15 00:00:00,D,AT&T Application Scanning,Oracle,Denver,No,4-5
57,No,2020-08-01 00:00:00,2020-09-15 00:00:00,H,AT&T Application Scanning,Oracle,Chicago,Yes,10-11
58,Yes,2020-11-01 00:00:00,2020-12-15 00:00:00,G,Chevron Cloud Security,Oracle,Boston,No,7-8
59,Yes,2020-04-01 00:00:00,2020-10-15 00:00:00,F,Cloud Security Enablement Phase 1,Java,Chicago,Yes,2-3
60,No,2020-04-01 00:00:00,2020-12-15 00:00:00,D,Malware Analysis & Countermeasures (MAC),ML,Denver,Yes,3-4
61,No,2020-02-01 00:00:00,2020-02-15 00:00:00,B,AT&T Application Scanning,Oracle,Denver,Yes,8-9
62,No,2020-06-01 00:00:00,2020-08-15 00:00:00,E,Cyber Integration,Java,Denver,Yes,5-6
63,Yes,2020-04-01 00:00:00,2020-04-15 00:00:00,B,iDefense- Odin,ML,Chicago,No,5-6
64,No,2020-10-01 00:00:00,2020-12-15 00:00:00,F,Cyber Integration,Cloud,Denver,No,1-2
65,Yes,2020-01-01 00:00:00,2020-09-15 00:00:00,B,iDefense- Zaim,Cloud,DC,No,7-8
66,Yes,2020-03-01 00:00:00,2020-05-15 00:00:00,H,Avande,Oracle,Boston,Yes,6-7
67,No,2020-10-01 00:00:00,2020-10-15 00:00:00,A,iDefense- Zaim,ML,Denver,Yes,7-8
68,No,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Cloud Security Enablement Phase 1,Cloud,NYC,Yes,7-8
69,No,2020-02-01 00:00:00,2020-02-15 00:00:00,G,Application Security F/P Analysis,Oracle,DC,No,6-7
70,Yes,2020-03-01 00:00:00,2020-04-15 00:00:00,C,AT&T Application Scanning,Python,Boston,Yes,4-5
71,No,2020-09-01 00:00:00,2020-12-15 00:00:00,C,Cyber Integration,Oracle,Chicago,Yes,4-5
72,No,2020-08-01 00:00:00,2020-09-15 00:00:00,F,Chevron Cloud Security,Python,NYC,Yes,9-10
73,No,2020-11-01 00:00:00,2020-12-15 00:00:00,E,Cloud Security Enablement Phase 1,Java,NYC,Yes,3-4
74,Yes,2020-02-01 00:00:00,2020-08-15 00:00:00,D,Avande,Python,Chicago,Yes,7-8
75,Yes,2020-11-01 00:00:00,2020-12-15 00:00:00,B,Cyber Integration,Oracle,Chicago,Yes,1-2
76,No,2020-08-01 00:00:00,2020-08-15 00:00:00,F,Cloud Security Enablement Phase 1,Cloud,Boston,No,4-5
77,Yes,2020-08-01 00:00:00,2020-12-15 00:00:00,H,Avande,Java,Denver,Yes,6-7
78,No,2020-09-01 00:00:00,2020-09-15 00:00:00,F,Application Security F/P Analysis,ML,Boston,Yes,9-10
79,No,2020-07-01 00:00:00,2020-10-15 00:00:00,D,Application Security F/P Analysis,Oracle,Chicago,No,4-5
80,Yes,2020-07-01 00:00:00,2020-07-15 00:00:00,E,AT&T Application Scanning,Oracle,Denver,Yes,1-2
81,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,H,Journey2Cloud,Python,Denver,No,8-9
82,No,2020-01-01 00:00:00,2020-08-15 00:00:00,A,Chevron Cloud Security,Java,Boston,No,10-11
83,No,2020-06-01 00:00:00,2020-09-15 00:00:00,E,AT&T Application Scanning,Java,Denver,No,3-4
84,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,B,Malware Analysis & Countermeasures (MAC),Cloud,Boston,No,7-8
85,No,2020-03-01 00:00:00,2020-03-15 00:00:00,G,AT&T Application Scanning,ML,Boston,Yes,3-4
86,Yes,2020-02-01 00:00:00,2020-07-15 00:00:00,A,Malware Analysis & Countermeasures (MAC),Python,DC,Yes,6-7
87,Yes,2020-10-01 00:00:00,2020-10-15 00:00:00,D,Malware Analysis & Countermeasures (MAC),Java,Denver,Yes,1-2
88,Yes,2020-01-01 00:00:00,2020-02-15 00:00:00,B,Application Security F/P Analysis,Python,DC,Yes,10-11
89,Yes,2020-04-01 00:00:00,2020-04-15 00:00:00,H,Cyber Integration,Java,Chicago,Yes,5-6
90,Yes,2020-11-01 00:00:00,2020-12-15 00:00:00,D,Chevron Cloud Security,Cloud,Chicago,Yes,4-5
91,Yes,2020-07-01 00:00:00,2020-07-15 00:00:00,E,Cloud Security Enablement Phase 1,Cloud,Denver,Yes,2-3
92,Yes,2020-07-01 00:00:00,2020-08-15 00:00:00,A,Avande,Oracle,NYC,No,2-3
93,Yes,2020-06-01 00:00:00,2020-07-15 00:00:00,G,Avande,Java,DC,No,2-3
94,No,2020-01-01 00:00:00,2020-08-15 00:00:00,A,Cyber Integration,ML,Denver,Yes,6-7
95,No,2020-04-01 00:00:00,2020-08-15 00:00:00,D,Avande,Java,NYC,Yes,6-7
96,No,2020-01-01 00:00:00,2020-06-15 00:00:00,G,Application Security F/P Analysis,Java,DC,Yes,8-9
97,No,2020-10-01 00:00:00,2020-12-15 00:00:00,H,iDefense- Zaim,Python,Chicago,No,2-3
98,Yes,2020-11-01 00:00:00,2020-11-15 00:00:00,B,iDefense- Zaim,Java,Boston,No,8-9
99,Yes,2020-11-01 00:00:00,2020-11-15 00:00:00,E,Malware Analysis & Countermeasures (MAC),Cloud,Boston,No,4-5
100,Yes,2020-03-01 00:00:00,2020-07-15 00:00:00,C,Journey2Cloud,ML,NYC,Yes,6-7
101,No,2020-11-01 00:00:00,2020-12-15 00:00:00,B,Cloud Security Enablement Phase 1,Python,NYC,Yes,7-8
102,Yes,2020-11-01 00:00:00,2020-11-15 00:00:00,B,iDefense- Odin,Python,DC,No,1-2
103,No,2020-06-01 00:00:00,2020-10-15 00:00:00,F,Malware Analysis & Countermeasures (MAC),Python,Boston,No,8-9
104,Yes,2020-03-01 00:00:00,2020-04-15 00:00:00,E,Journey2Cloud,Python,Chicago,No,2-3
105,Yes,2020-03-01 00:00:00,2020-03-15 00:00:00,F,Journey2Cloud,Python,Boston,No,8-9
106,Yes,2020-03-01 00:00:00,2020-04-15 00:00:00,A,Avande,ML,Chicago,Yes,4-5
107,No,2020-12-01 00:00:00,2020-12-15 00:00:00,E,Journey2Cloud,Java,Chicago,Yes,3-4
108,No,2020-05-01 00:00:00,2020-08-15 00:00:00,D,Malware Analysis & Countermeasures (MAC),Java,Chicago,No,10-11
109,No,2020-09-01 00:00:00,2020-11-15 00:00:00,F,Application Security F/P Analysis,Python,Denver,Yes,1-2
110,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,G,Chevron Cloud Security,Oracle,NYC,Yes,5-6
111,No,2020-01-01 00:00:00,2020-10-15 00:00:00,B,AT&T Application Scanning,Python,NYC,No,2-3
112,Yes,2020-01-01 00:00:00,2020-05-15 00:00:00,F,Cloud Security Enablement Phase 1,Python,Boston,Yes,2-3
113,Yes,2020-03-01 00:00:00,2020-08-15 00:00:00,C,iDefense- Zaim,Python,Boston,Yes,4-5
114,Yes,2020-07-01 00:00:00,2020-11-15 00:00:00,B,Journey2Cloud,ML,Chicago,Yes,2-3
115,No,2020-04-01 00:00:00,2020-06-15 00:00:00,C,iDefense- Zaim,Java,NYC,Yes,6-7
116,No,2020-08-01 00:00:00,2020-08-15 00:00:00,H,iDefense- Odin,Oracle,DC,No,1-2
117,Yes,2020-03-01 00:00:00,2020-07-15 00:00:00,H,Cyber Integration,Python,Boston,No,5-6
118,No,2020-10-01 00:00:00,2020-10-15 00:00:00,B,Cloud Security Enablement Phase 1,Cloud,DC,Yes,9-10
119,No,2020-07-01 00:00:00,2020-08-15 00:00:00,A,iDefense- Zaim,Java,Boston,No,5-6
120,No,2020-03-01 00:00:00,2020-04-15 00:00:00,F,Avande,Python,Boston,No,3-4
121,Yes,2020-09-01 00:00:00,2020-12-15 00:00:00,E,Application Security F/P Analysis,Oracle,Boston,No,7-8
122,No,2020-11-01 00:00:00,2020-11-15 00:00:00,F,Malware Analysis & Countermeasures (MAC),Java,Chicago,Yes,7-8
123,No,2020-11-01 00:00:00,2020-12-15 00:00:00,C,iDefense- Odin,ML,Denver,Yes,2-3
124,No,2020-01-01 00:00:00,2020-11-15 00:00:00,A,Cyber Integration,Java,Boston,No,3-4
125,No,2020-07-01 00:00:00,2020-12-15 00:00:00,F,Journey2Cloud,Java,NYC,No,9-10
126,No,2020-03-01 00:00:00,2020-09-15 00:00:00,H,Avande,Java,Chicago,Yes,7-8
127,Yes,2020-08-01 00:00:00,2020-10-15 00:00:00,H,Cloud Security Enablement Phase 1,ML,Denver,No,10-11
128,Yes,2020-11-01 00:00:00,2020-11-15 00:00:00,D,Chevron Cloud Security,Python,DC,Yes,10-11
129,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Cloud Security Enablement Phase 1,Java,Denver,No,8-9
130,Yes,2020-02-01 00:00:00,2020-02-15 00:00:00,E,Cloud Security Enablement Phase 1,Oracle,Chicago,Yes,9-10
131,No,2020-04-01 00:00:00,2020-08-15 00:00:00,D,AT&T Application Scanning,Java,DC,No,2-3
132,No,2020-04-01 00:00:00,2020-12-15 00:00:00,C,AT&T Application Scanning,Cloud,Boston,No,6-7
133,Yes,2020-05-01 00:00:00,2020-09-15 00:00:00,G,Cloud Security Enablement Phase 1,Cloud,Denver,No,10-11
134,Yes,2020-11-01 00:00:00,2020-11-15 00:00:00,C,Cyber Integration,Oracle,Denver,Yes,1-2
135,No,2020-03-01 00:00:00,2020-09-15 00:00:00,D,Avande,Python,Boston,Yes,3-4
136,No,2020-02-01 00:00:00,2020-06-15 00:00:00,C,AT&T Application Scanning,Python,NYC,No,10-11
137,No,2020-05-01 00:00:00,2020-11-15 00:00:00,G,Malware Analysis & Countermeasures (MAC),Cloud,Denver,No,7-8
138,No,2020-01-01 00:00:00,2020-03-15 00:00:00,D,Application Security F/P Analysis,Python,Chicago,Yes,4-5
139,Yes,2020-04-01 00:00:00,2020-09-15 00:00:00,B,Cyber Integration,Cloud,DC,No,7-8
140,No,2020-11-01 00:00:00,2020-11-15 00:00:00,H,Cloud Security Enablement Phase 1,Python,Chicago,Yes,4-5
141,No,2020-02-01 00:00:00,2020-08-15 00:00:00,F,AT&T Application Scanning,Cloud,NYC,No,8-9
142,Yes,2020-02-01 00:00:00,2020-02-15 00:00:00,A,iDefense- Zaim,Cloud,Boston,Yes,3-4
143,No,2020-01-01 00:00:00,2020-07-15 00:00:00,C,Cloud Security Enablement Phase 1,Cloud,NYC,No,10-11
144,No,2020-09-01 00:00:00,2020-10-15 00:00:00,E,Cyber Integration,Python,Chicago,No,3-4
145,No,2020-01-01 00:00:00,2020-05-15 00:00:00,A,iDefense- Odin,Oracle,Boston,Yes,4-5
146,No,2020-07-01 00:00:00,2020-10-15 00:00:00,H,Chevron Cloud Security,Cloud,Chicago,No,4-5
147,No,2020-02-01 00:00:00,2020-11-15 00:00:00,A,Cloud Security Enablement Phase 1,Cloud,Boston,Yes,9-10
148,Yes,2020-07-01 00:00:00,2020-10-15 00:00:00,C,AT&T Application Scanning,Cloud,DC,No,8-9
149,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,E,Journey2Cloud,Oracle,Denver,No,4-5
150,No,2020-12-01 00:00:00,2020-12-15 00:00:00,A,Cyber Integration,Java,Denver,No,10-11
151,No,2020-05-01 00:00:00,2020-08-15 00:00:00,D,Cloud Security Enablement Phase 1,Oracle,Denver,No,8-9
152,No,2020-02-01 00:00:00,2020-02-15 00:00:00,H,Cyber Integration,Cloud,NYC,No,8-9
153,Yes,2020-07-01 00:00:00,2020-11-15 00:00:00,D,Journey2Cloud,ML,Chicago,No,10-11
154,Yes,2020-08-01 00:00:00,2020-10-15 00:00:00,F,Journey2Cloud,Java,Denver,No,7-8
155,No,2020-02-01 00:00:00,2020-02-15 00:00:00,C,Journey2Cloud,Java,Denver,No,8-9
156,No,2020-03-01 00:00:00,2020-12-15 00:00:00,D,iDefense- Zaim,Python,Boston,Yes,7-8
157,Yes,2020-03-01 00:00:00,2020-09-15 00:00:00,G,Avande,Cloud,Boston,Yes,4-5
158,No,2020-01-01 00:00:00,2020-02-15 00:00:00,E,Application Security F/P Analysis,Java,NYC,Yes,7-8
159,Yes,2020-10-01 00:00:00,2020-11-15 00:00:00,E,Cyber Integration,Oracle,NYC,Yes,2-3
160,No,2020-04-01 00:00:00,2020-04-15 00:00:00,E,Cloud Security Enablement Phase 1,Cloud,Boston,Yes,2-3
161,Yes,2020-02-01 00:00:00,2020-09-15 00:00:00,A,iDefense- Odin,Python,NYC,Yes,6-7
162,No,2020-08-01 00:00:00,2020-10-15 00:00:00,A,Avande,Cloud,Denver,No,5-6
163,Yes,2020-10-01 00:00:00,2020-12-15 00:00:00,H,iDefense- Odin,Python,NYC,No,9-10
164,Yes,2020-07-01 00:00:00,2020-08-15 00:00:00,H,Malware Analysis & Countermeasures (MAC),ML,Boston,No,10-11
165,Yes,2020-11-01 00:00:00,2020-12-15 00:00:00,E,Cloud Security Enablement Phase 1,Oracle,Denver,No,9-10
166,Yes,2020-03-01 00:00:00,2020-04-15 00:00:00,F,Avande,Oracle,NYC,No,9-10
167,No,2020-09-01 00:00:00,2020-09-15 00:00:00,A,iDefense- Zaim,ML,Boston,Yes,3-4
168,Yes,2020-02-01 00:00:00,2020-04-15 00:00:00,H,iDefense- Odin,Python,DC,Yes,10-11
169,Yes,2020-04-01 00:00:00,2020-11-15 00:00:00,F,iDefense- Zaim,Python,DC,Yes,6-7
170,Yes,2020-10-01 00:00:00,2020-12-15 00:00:00,C,iDefense- Zaim,Oracle,Chicago,No,3-4
171,No,2020-06-01 00:00:00,2020-08-15 00:00:00,B,Chevron Cloud Security,Java,DC,No,6-7
172,No,2020-01-01 00:00:00,2020-12-15 00:00:00,B,Journey2Cloud,Python,Boston,Yes,4-5
173,Yes,2020-05-01 00:00:00,2020-06-15 00:00:00,H,Application Security F/P Analysis,ML,DC,Yes,5-6
174,Yes,2020-08-01 00:00:00,2020-11-15 00:00:00,E,iDefense- Zaim,ML,DC,Yes,5-6
175,Yes,2020-05-01 00:00:00,2020-06-15 00:00:00,G,Application Security F/P Analysis,Cloud,Denver,Yes,7-8
176,Yes,2020-06-01 00:00:00,2020-11-15 00:00:00,F,Malware Analysis & Countermeasures (MAC),Oracle,DC,Yes,5-6
177,No,2020-06-01 00:00:00,2020-09-15 00:00:00,A,Journey2Cloud,Python,DC,No,1-2
178,Yes,2020-02-01 00:00:00,2020-04-15 00:00:00,A,Avande,Java,Chicago,Yes,4-5
179,No,2020-02-01 00:00:00,2020-04-15 00:00:00,H,Avande,Java,Chicago,Yes,5-6
180,No,2020-03-01 00:00:00,2020-10-15 00:00:00,C,AT&T Application Scanning,ML,NYC,No,10-11
181,No,2020-04-01 00:00:00,2020-11-15 00:00:00,G,Application Security F/P Analysis,Python,Chicago,Yes,1-2
182,No,2020-11-01 00:00:00,2020-12-15 00:00:00,E,Malware Analysis & Countermeasures (MAC),Oracle,Boston,No,2-3
183,Yes,2020-03-01 00:00:00,2020-06-15 00:00:00,A,Cyber Integration,Java,Denver,No,6-7
184,Yes,2020-09-01 00:00:00,2020-12-15 00:00:00,E,Chevron Cloud Security,ML,Chicago,No,2-3
185,Yes,2020-11-01 00:00:00,2020-11-15 00:00:00,E,Cloud Security Enablement Phase 1,Python,Chicago,Yes,7-8
186,Yes,2020-02-01 00:00:00,2020-02-15 00:00:00,C,Cyber Integration,Java,NYC,Yes,6-7
187,Yes,2020-03-01 00:00:00,2020-08-15 00:00:00,D,Application Security F/P Analysis,Java,DC,No,5-6
188,No,2020-03-01 00:00:00,2020-08-15 00:00:00,E,AT&T Application Scanning,Cloud,DC,No,1-2
189,Yes,2020-05-01 00:00:00,2020-11-15 00:00:00,B,Avande,Oracle,Boston,Yes,3-4
190,Yes,2020-03-01 00:00:00,2020-09-15 00:00:00,B,Avande,Oracle,DC,No,8-9
191,No,2020-03-01 00:00:00,2020-05-15 00:00:00,G,Cyber Integration,Python,Chicago,No,8-9
192,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Avande,Cloud,Denver,No,2-3
193,No,2020-12-01 00:00:00,2020-12-15 00:00:00,C,Cloud Security Enablement Phase 1,Oracle,NYC,No,1-2
194,Yes,2020-06-01 00:00:00,2020-12-15 00:00:00,B,Chevron Cloud Security,Cloud,Boston,Yes,4-5
195,Yes,2020-11-01 00:00:00,2020-12-15 00:00:00,H,Cloud Security Enablement Phase 1,Cloud,Boston,No,10-11
196,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,B,Journey2Cloud,Oracle,Denver,Yes,9-10
197,Yes,2020-02-01 00:00:00,2020-06-15 00:00:00,G,Application Security F/P Analysis,Cloud,NYC,No,5-6
198,No,2020-05-01 00:00:00,2020-06-15 00:00:00,A,AT&T Application Scanning,Java,Boston,No,10-11
199,No,2020-02-01 00:00:00,2020-10-15 00:00:00,C,Journey2Cloud,Python,DC,Yes,9-10
200,Yes,2020-05-01 00:00:00,2020-10-15 00:00:00,H,Malware Analysis & Countermeasures (MAC),Python,NYC,Yes,5-6
201,No,2020-04-01 00:00:00,2020-07-15 00:00:00,F,Chevron Cloud Security,ML,Chicago,No,4-5
202,Yes,2020-03-01 00:00:00,2020-04-15 00:00:00,B,iDefense- Zaim,Java,DC,Yes,3-4
203,No,2020-07-01 00:00:00,2020-12-15 00:00:00,E,iDefense- Zaim,ML,Chicago,No,9-10
204,Yes,2020-11-01 00:00:00,2020-12-15 00:00:00,B,Journey2Cloud,Java,Boston,No,4-5
205,No,2020-09-01 00:00:00,2020-09-15 00:00:00,H,iDefense- Odin,ML,NYC,No,5-6
206,No,2020-06-01 00:00:00,2020-11-15 00:00:00,G,Avande,Oracle,Boston,No,3-4
207,No,2020-02-01 00:00:00,2020-10-15 00:00:00,G,AT&T Application Scanning,Java,Boston,No,8-9
208,No,2020-09-01 00:00:00,2020-09-15 00:00:00,E,Cyber Integration,ML,Denver,Yes,6-7
209,Yes,2020-07-01 00:00:00,2020-07-15 00:00:00,D,Chevron Cloud Security,Cloud,DC,Yes,5-6
210,No,2020-08-01 00:00:00,2020-09-15 00:00:00,F,Cloud Security Enablement Phase 1,Python,Chicago,Yes,3-4
211,No,2020-11-01 00:00:00,2020-12-15 00:00:00,E,Journey2Cloud,Java,Boston,Yes,1-2
212,Yes,2020-06-01 00:00:00,2020-09-15 00:00:00,B,Cyber Integration,ML,Boston,Yes,5-6
213,No,2020-12-01 00:00:00,2020-12-15 00:00:00,G,Chevron Cloud Security,Oracle,Denver,Yes,1-2
214,Yes,2020-02-01 00:00:00,2020-10-15 00:00:00,D,Avande,Cloud,Chicago,No,3-4
215,No,2020-04-01 00:00:00,2020-09-15 00:00:00,F,AT&T Application Scanning,Cloud,NYC,Yes,6-7
216,No,2020-12-01 00:00:00,2020-12-15 00:00:00,B,iDefense- Odin,ML,NYC,No,8-9
217,Yes,2020-11-01 00:00:00,2020-11-15 00:00:00,G,AT&T Application Scanning,Cloud,Boston,Yes,4-5
218,No,2020-05-01 00:00:00,2020-10-15 00:00:00,H,Chevron Cloud Security,Python,DC,No,4-5
219,No,2020-09-01 00:00:00,2020-11-15 00:00:00,B,Cyber Integration,Java,Denver,No,9-10
220,Yes,2020-11-01 00:00:00,2020-12-15 00:00:00,H,Cyber Integration,ML,NYC,No,7-8
221,Yes,2020-09-01 00:00:00,2020-11-15 00:00:00,B,Application Security F/P Analysis,Java,DC,Yes,9-10
222,No,2020-04-01 00:00:00,2020-05-15 00:00:00,F,Avande,ML,DC,No,8-9
223,Yes,2020-10-01 00:00:00,2020-11-15 00:00:00,B,Chevron Cloud Security,Cloud,Chicago,No,1-2
224,No,2020-11-01 00:00:00,2020-12-15 00:00:00,D,iDefense- Odin,Oracle,Chicago,Yes,3-4
225,Yes,2020-09-01 00:00:00,2020-10-15 00:00:00,H,Avande,Python,Denver,No,10-11
226,No,2020-06-01 00:00:00,2020-11-15 00:00:00,D,iDefense- Odin,Cloud,Boston,No,1-2
227,Yes,2020-08-01 00:00:00,2020-09-15 00:00:00,H,iDefense- Zaim,ML,DC,No,9-10
228,No,2020-12-01 00:00:00,2020-12-15 00:00:00,E,Journey2Cloud,Cloud,Chicago,Yes,7-8
229,No,2020-01-01 00:00:00,2020-09-15 00:00:00,A,Journey2Cloud,Cloud,Chicago,No,2-3
230,Yes,2020-07-01 00:00:00,2020-09-15 00:00:00,D,iDefense- Odin,Cloud,NYC,No,6-7
231,No,2020-11-01 00:00:00,2020-11-15 00:00:00,A,Application Security F/P Analysis,Java,Denver,No,5-6
232,No,2020-02-01 00:00:00,2020-03-15 00:00:00,H,Avande,ML,Chicago,No,3-4
233,No,2020-11-01 00:00:00,2020-11-15 00:00:00,H,Chevron Cloud Security,ML,DC,Yes,8-9
234,Yes,2020-03-01 00:00:00,2020-04-15 00:00:00,B,Malware Analysis & Countermeasures (MAC),ML,Denver,Yes,5-6
235,No,2020-06-01 00:00:00,2020-06-15 00:00:00,C,Avande,Oracle,Denver,No,10-11
236,No,2020-01-01 00:00:00,2020-06-15 00:00:00,C,Malware Analysis & Countermeasures (MAC),Cloud,NYC,Yes,4-5
237,No,2020-07-01 00:00:00,2020-08-15 00:00:00,F,Journey2Cloud,Cloud,NYC,No,8-9
238,No,2020-10-01 00:00:00,2020-11-15 00:00:00,E,Avande,Java,NYC,No,8-9
